municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,10,10
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,0,0
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,3,3
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,1,1
YANACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-01-01,2,2
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,2,2
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,4,4
OMEREQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,0,0
SANTIAGO DE CALLAPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-02-01,1,1
ALCALA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-03-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
CHIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
COLOMI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,2,2
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
LORETO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,2,2
PORVENIR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2009-04-01,1,1
