municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g,TOTAL
BATALLAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-01-01,0,0
BUENA VISTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-02-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-02-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-02-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-02-01,0,0
SAN ANDRES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-03-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-03-01,0,0
TARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-04-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-05-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-06-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,0,0
SORACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-07-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-08-01,2,2
CURVA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-08-01,0,0
VILA VILA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-09-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-09-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-09-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-09-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-10-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-10-01,0,0
SORACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-10-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-11-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-11-01,0,0
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-11-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-12-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-12-01,1,1
PAILON,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-12-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-12-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g,2009-12-01,1,1
