municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
EL CHORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,2,2
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-01-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,2,2
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
PAZÑA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,0,0
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
TARVITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
ICLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2009-03-01,1,1
