municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,26,26
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,6,6
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,14,14
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,13,13
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,17,17
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,12,12
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,7,7
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,8,8
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,10,10
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,9,9
CARAPARI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,8,8
CHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CHARAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
CHARAÑA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,15,15
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CHIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,10,10
COLLANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,41,41
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,7,7
COLQUIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,25,25
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
COMBAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,6,6
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,16,16
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
CURVA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
ENTRE RIOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
GUAQUI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,7,7
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,12,12
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,20,20
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,12,12
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,14,14
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
LA RIVERA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,11,11
LAS CARRERAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
LLICA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
MACHACAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,5,5
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
MALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,11,11
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
MOJINETE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,20,20
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,17,17
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,3,3
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,4,4
PALCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2009-01-01,2,2
