municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,2,2
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,7,7
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,4,4
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-01-01,0,0
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-02-01,0,0
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,2,2
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,2,2
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2009-03-01,0,0
