municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,8,8
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,19,19
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
COMANCHE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,5,5
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,6,6
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
MACHARETI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
MAPIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
MOJINETE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
MORO MORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,7,7
OMEREQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,21,21
POOPO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PUERTO QUIJARRO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,7,7
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,19,19
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,6,6
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,7,7
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,10,10
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,0,0
SANTIAGO DE CALLAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
SORACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,6,6
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,4,4
TARABUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,7,7
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,7,7
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
VILA VILA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
VILLAZON,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,2,2
YANACACHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
YOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-01-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,58,58
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
CAJUATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,5,5
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,13,13
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,14,14
COMARAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
DESAGUADERO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,7,7
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
MECAPACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
PADILLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,9,9
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,6,6
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,5,5
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,18,18
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,5,5
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,4,4
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,0,0
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
SICAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
SOPACHUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
TACOBAMBA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,4,4
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,13,13
TOLEDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
TOMAVE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,11,11
TUPIZA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,3,3
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,6,6
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-02-01,2,2
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
AIQUILE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,5,5
ARQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,7,7
BATALLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
BERMEJO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
CAIROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
CARANAVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,7,7
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
COBIJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,21,21
COMARAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,6,6
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
HUACHACALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
ICHOCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
ICLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
LICOMA PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
MECAPACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,4,4
MOJOCOYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
MORO MORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,5,5
OCURI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
PAILON,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
PALCA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,17,17
POCONA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,7,7
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
SABAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,8,8
SAMAIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2009-03-01,3,3
