municipality,group,variable,month,Tratamientos iniciados con esquema l,TOTAL
ACHACACHI,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,5,5
ASCENCION DE GUARAYOS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,2,2
BERMEJO,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,4,4
BETANZOS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,2,2
CAIROMA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CAMIRI,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,7,7
CARANAVI,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,9,9
CARAPARI,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,2,2
CARMEN RIVERO TORREZ,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CHALLAPATA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,3,3
CHARAGUA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
COBIJA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,6,6
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,38,38
COLQUECHACA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
COMARAPA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
COROICO,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
COTAGAITA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
COTOCA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,3,3
CUEVO,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CULPINA,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
CURAHUARA DE CARANGAS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,75,75
EL PUENTE(STC),tuberculosis,tratamientos iniciados con esquema l,2008-01-01,2,2
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema l,2008-01-01,1,1
EL TORNO,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,4,4
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,2,2
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema l,2008-01-01,5,5
