municipality,group,variable,month,N° de TB extrapulmonar nuevos,TOTAL
BETANZOS,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,4,4
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,13,13
COTAGAITA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,20,20
ENTRE RIOS,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,2,2
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,40,40
MIZQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,9,9
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
RIBERALTA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,5,5
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,3,3
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,7,7
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
TOLATA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,2,2
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
VIACHA,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
VILLA RIVERO,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,1,1
VINTO,tuberculosis,n de tb extrapulmonar nuevos,2008-01-01,2,2
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,8,8
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
CULPINA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,15,15
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,30,30
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,7,7
PALOS BLANCOS,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
PUNATA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,6,6
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,3,3
TOMINA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
WARNES,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-02-01,2,2
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
APOLO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
ARBIETO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,3,3
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,13,13
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,57,57
MAPIRI,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
MIZQUE,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,17,17
PADCAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
PATACAMAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
PUCARANI,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
QUILLACOLLO,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
SACABA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,13,13
SANTIAGO DE MACHACA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
SORATA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
SUCRE,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,3,3
TARIJA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
TIQUIPAYA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
TRINIDAD,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
TUPIZA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
VILLA MONTES,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
VILLAZON,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,2,2
VITICHI,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
YACUIBA,tuberculosis,n de tb extrapulmonar nuevos,2008-03-01,1,1
ACHACACHI,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
BERMEJO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,3,3
"CAIZA ""D""",tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
CARANAVI,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,2,2
COCHABAMBA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,12,12
COLCAPIRHUA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,2,2
COROICO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
EL ALTO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,16,16
LA GUARDIA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,2,2
LA PAZ,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,44,44
MECAPACA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
ORURO,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,6,6
POROMA,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
POTOSI,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tb extrapulmonar nuevos,2008-04-01,1,1
