municipality,group,variable,month,Tratamientos iniciados con esquema ll,TOTAL
BERMEJO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
BOYUIBE,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
CARANAVI,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
CHARAGUA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
CHIMORE,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,2,2
EL ALTO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,7,7
EL PUENTE(TJA),tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
ENTRE RIOS,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
GUANAY,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
LA PAZ,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,4,4
ORURO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
PALCA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
RAVELO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
RURRENABAQUE,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
SAN BORJA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
SAN JULIAN,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,16,16
SORATA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,2,2
TARABUCO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
TIPUANI,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
URIONDO (A. CONCEPCION),tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
VIACHA,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
VILLA TUNARI,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
VINTO,tuberculosis,tratamientos iniciados con esquema ll,2008-01-01,1,1
