municipality,group,variable,month,N° de Sintomáticos Respiratorios,TOTAL
ACACIO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
ACHACACHI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
AIQUILE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
ALCALA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
ANCORAIMES,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
ANDAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
ANTEQUERA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
ANZALDO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
APOLO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
ARAMPAMPA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
ARANI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
ARBIETO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
ARQUE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
ATOCHA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
AUCAPATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
AYATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
AYO AYO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,19,19
AZURDUY,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
BATALLAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
BERMEJO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,82,82
BETANZOS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
BOLIVAR,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
BOYUIBE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
CABEZAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
CAJUATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
CALAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
CAMARGO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,11,11
CAMATAQUI (C. VILLA ABECIA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
CAPINOTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,17,17
CAQUIAVIRI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
CARACOLLO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
CARANAVI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,98,98
CARAPARI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
CATACORA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
CHALLAPATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,18,18
CHAQUI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
CHARAGUA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
CHAYANTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
CHIMORE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de sintomaticos respiratorios,2008-01-01,26,26
CHUMA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
CLIZA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
COBIJA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,39,39
COCHABAMBA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,312,312
COLCAPIRHUA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
COLOMI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
COLPA BELGICA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
COLQUECHACA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
COLQUENCHA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
COLQUIRI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,13,13
COMANCHE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
COMARAPA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,18,18
COPACABANA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
CORIPATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
CORO CORO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,10,10
COROICO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,22,22
CORQUE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
COTAGAITA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
COTOCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,36,36
CUCHUMUELA (V. G. VILLARROEL),tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
CUEVO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
CULPINA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
CURAHUARA DE CARANGAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
CURVA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
DESAGUADERO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
EL ALTO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,633,633
EL CHORO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
EL PUENTE(TJA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,12,12
EL TORNO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,50,50
EL VILLAR,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,23,23
ENTRE RIOS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,35,35
GUANAY,tuberculosis,n de sintomaticos respiratorios,2008-01-01,13,13
GUAQUI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
GUAYARAMERIN,tuberculosis,n de sintomaticos respiratorios,2008-01-01,42,42
HUACARETA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
HUACAYA (VILLA DE HUACAYA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
HUACHACALLA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
HUANUNI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
HUARACAJE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
HUAYLLAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
ICHOCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
ICLA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
INCAHUASI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,11,11
INQUISIVI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
IRUPANA (VILLA DE LANZA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
JESUS DE MACHACA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,15,15
LA ASUNTA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,40,40
LA GUARDIA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,86,86
LA PAZ,tuberculosis,n de sintomaticos respiratorios,2008-01-01,668,668
LAGUNILLAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,10,10
LAJA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
LAS CARRERAS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
LLALLAGUA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,19,19
LURIBAY,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
MACHACAMARCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
MACHARETI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,3,3
MAGDALENA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
MAIRANA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,6,6
MAPIRI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,7,7
MECAPACA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
MIZQUE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
MOCOMOCO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
MOJOCOYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,4,4
MONTEAGUDO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,48,48
MOROCHATA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
OCURI,tuberculosis,n de sintomaticos respiratorios,2008-01-01,2,2
OMEREQUE,tuberculosis,n de sintomaticos respiratorios,2008-01-01,12,12
ORURO,tuberculosis,n de sintomaticos respiratorios,2008-01-01,203,203
PADCAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,5,5
PADILLA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,9,9
PALCA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
PALOS BLANCOS,tuberculosis,n de sintomaticos respiratorios,2008-01-01,26,26
PASORAPA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,1,1
PATACAMAYA,tuberculosis,n de sintomaticos respiratorios,2008-01-01,8,8
