municipality,group,variable,month,Tratamientos iniciados con esquema lll,TOTAL
COTOCA,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
CUATRO CAÑADAS,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,2,2
LA PAZ,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,2,2
MONTEAGUDO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,2,2
PAILON,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
PUNATA,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
RIBERALTA,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,3,3
SACABA,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,4,4
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,7,7
TARABUCO,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-01-01,2,2
COBIJA,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
COLCAPIRHUA,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
PATACAMAYA,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,5,5
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,4,4
VILLA MONTES,tuberculosis,tratamientos iniciados con esquema lll,2008-02-01,1,1
COCHABAMBA,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
EL ALTO,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,4,4
MONTERO,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
ORURO,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
PUERTO VILLARROEL,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,2,2
QUILLACOLLO,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,2,2
SAN BORJA,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
SAN JAVIER(STC),tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
SUCRE,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,5,5
TIRAQUE (CBBA),tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,2,2
TRINIDAD,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,1,1
WARNES,tuberculosis,tratamientos iniciados con esquema lll,2008-03-01,5,5
