municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
ACHACACHI,referencias,pacientes referidos a otros establecimientos,2008-01-01,19,19
ACHOCALLA,referencias,pacientes referidos a otros establecimientos,2008-01-01,6,6
AIQUILE,referencias,pacientes referidos a otros establecimientos,2008-01-01,52,52
ALCALA,referencias,pacientes referidos a otros establecimientos,2008-01-01,5,5
ANTEQUERA,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
ANZALDO,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
APOLO,referencias,pacientes referidos a otros establecimientos,2008-01-01,4,4
ARAMPAMPA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
ARBIETO,referencias,pacientes referidos a otros establecimientos,2008-01-01,5,5
ARQUE,referencias,pacientes referidos a otros establecimientos,2008-01-01,3,3
ASCENCION DE GUARAYOS,referencias,pacientes referidos a otros establecimientos,2008-01-01,19,19
ATOCHA,referencias,pacientes referidos a otros establecimientos,2008-01-01,76,76
AYATA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),referencias,pacientes referidos a otros establecimientos,2008-01-01,13,13
AZURDUY,referencias,pacientes referidos a otros establecimientos,2008-01-01,5,5
BATALLAS,referencias,pacientes referidos a otros establecimientos,2008-01-01,13,13
BAURES,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
BERMEJO,referencias,pacientes referidos a otros establecimientos,2008-01-01,75,75
BETANZOS,referencias,pacientes referidos a otros establecimientos,2008-01-01,28,28
BOLIVAR,referencias,pacientes referidos a otros establecimientos,2008-01-01,6,6
BOLPEBRA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
BOYUIBE,referencias,pacientes referidos a otros establecimientos,2008-01-01,6,6
BUENA VISTA,referencias,pacientes referidos a otros establecimientos,2008-01-01,11,11
CABEZAS,referencias,pacientes referidos a otros establecimientos,2008-01-01,15,15
CAIROMA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
"CAIZA ""D""",referencias,pacientes referidos a otros establecimientos,2008-01-01,24,24
CAJUATA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
CALAMARCA,referencias,pacientes referidos a otros establecimientos,2008-01-01,10,10
CAMARGO,referencias,pacientes referidos a otros establecimientos,2008-01-01,53,53
CAMATAQUI (C. VILLA ABECIA),referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
CAMIRI,referencias,pacientes referidos a otros establecimientos,2008-01-01,34,34
CAPINOTA,referencias,pacientes referidos a otros establecimientos,2008-01-01,12,12
CARACOLLO,referencias,pacientes referidos a otros establecimientos,2008-01-01,7,7
CARANAVI,referencias,pacientes referidos a otros establecimientos,2008-01-01,25,25
CARAPARI,referencias,pacientes referidos a otros establecimientos,2008-01-01,11,11
CHACARILLA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
CHALLAPATA,referencias,pacientes referidos a otros establecimientos,2008-01-01,31,31
CHARAGUA,referencias,pacientes referidos a otros establecimientos,2008-01-01,15,15
CHAYANTA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
CHIMORE,referencias,pacientes referidos a otros establecimientos,2008-01-01,29,29
CHULUMANI (V. DE LA LIBERTAD),referencias,pacientes referidos a otros establecimientos,2008-01-01,3,3
CHUMA,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
CLIZA,referencias,pacientes referidos a otros establecimientos,2008-01-01,14,14
COBIJA,referencias,pacientes referidos a otros establecimientos,2008-01-01,55,55
COCHABAMBA,referencias,pacientes referidos a otros establecimientos,2008-01-01,364,364
COIPASA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
COLCAPIRHUA,referencias,pacientes referidos a otros establecimientos,2008-01-01,4,4
"COLCHA ""K""",referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
COLOMI,referencias,pacientes referidos a otros establecimientos,2008-01-01,26,26
COLPA BELGICA,referencias,pacientes referidos a otros establecimientos,2008-01-01,53,53
COLQUECHACA,referencias,pacientes referidos a otros establecimientos,2008-01-01,13,13
COLQUENCHA,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
COLQUIRI,referencias,pacientes referidos a otros establecimientos,2008-01-01,8,8
COMARAPA,referencias,pacientes referidos a otros establecimientos,2008-01-01,9,9
COMBAYA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
CONCEPCION,referencias,pacientes referidos a otros establecimientos,2008-01-01,5,5
COPACABANA,referencias,pacientes referidos a otros establecimientos,2008-01-01,5,5
CORO CORO,referencias,pacientes referidos a otros establecimientos,2008-01-01,8,8
COROICO,referencias,pacientes referidos a otros establecimientos,2008-01-01,7,7
COTAGAITA,referencias,pacientes referidos a otros establecimientos,2008-01-01,40,40
COTOCA,referencias,pacientes referidos a otros establecimientos,2008-01-01,63,63
CUATRO CAÑADAS,referencias,pacientes referidos a otros establecimientos,2008-01-01,16,16
CUEVO,referencias,pacientes referidos a otros establecimientos,2008-01-01,4,4
CULPINA,referencias,pacientes referidos a otros establecimientos,2008-01-01,1,1
CURAHUARA DE CARANGAS,referencias,pacientes referidos a otros establecimientos,2008-01-01,3,3
DESAGUADERO,referencias,pacientes referidos a otros establecimientos,2008-01-01,8,8
EL ALTO,referencias,pacientes referidos a otros establecimientos,2008-01-01,988,988
EL CHORO,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
EL PUENTE(STC),referencias,pacientes referidos a otros establecimientos,2008-01-01,9,9
EL PUENTE(TJA),referencias,pacientes referidos a otros establecimientos,2008-01-01,12,12
EL TORNO,referencias,pacientes referidos a otros establecimientos,2008-01-01,53,53
EL VILLAR,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
ENTRE RIOS,referencias,pacientes referidos a otros establecimientos,2008-01-01,20,20
ENTRE RIOS,referencias,pacientes referidos a otros establecimientos,2008-01-01,22,22
EUCALIPTUS,referencias,pacientes referidos a otros establecimientos,2008-01-01,3,3
EXALTACION,referencias,pacientes referidos a otros establecimientos,2008-01-01,2,2
FERNANDEZ ALONSO,referencias,pacientes referidos a otros establecimientos,2008-01-01,16,16
FILADELFIA,referencias,pacientes referidos a otros establecimientos,2008-01-01,3,3
