,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2013-01-01,2,3,2,3,5
ACHACACHI,atencion odontologica,restauraciones,2013-01-01,61,82,61,82,143
ACHOCALLA,atencion odontologica,restauraciones,2013-01-01,13,40,13,40,53
AIQUILE,atencion odontologica,restauraciones,2013-01-01,55,153,55,153,208
ALCALA,atencion odontologica,restauraciones,2013-01-01,31,34,31,34,65
ALTO BENI,atencion odontologica,restauraciones,2013-01-01,8,27,8,27,35
ANCORAIMES,atencion odontologica,restauraciones,2013-01-01,11,5,11,5,16
ANDAMARCA,atencion odontologica,restauraciones,2013-01-01,15,8,15,8,23
ANTEQUERA,atencion odontologica,restauraciones,2013-01-01,38,42,38,42,80
ANZALDO,atencion odontologica,restauraciones,2013-01-01,17,33,17,33,50
APOLO,atencion odontologica,restauraciones,2013-01-01,33,44,33,44,77
ARAMPAMPA,atencion odontologica,restauraciones,2013-01-01,5,12,5,12,17
ARANI,atencion odontologica,restauraciones,2013-01-01,27,63,27,63,90
ARBIETO,atencion odontologica,restauraciones,2013-01-01,44,81,44,81,125
ARQUE,atencion odontologica,restauraciones,2013-01-01,11,54,11,54,65
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2013-01-01,2,18,2,18,20
ATOCHA,atencion odontologica,restauraciones,2013-01-01,190,255,190,255,445
AUCAPATA,atencion odontologica,restauraciones,2013-01-01,3,3,3,3,6
AYATA,atencion odontologica,restauraciones,2013-01-01,7,9,7,9,16
AYO AYO,atencion odontologica,restauraciones,2013-01-01,11,11,11,11,22
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2013-01-01,154,259,154,259,413
AZURDUY,atencion odontologica,restauraciones,2013-01-01,8,17,8,17,25
BATALLAS,atencion odontologica,restauraciones,2013-01-01,12,16,12,16,28
BAURES,atencion odontologica,restauraciones,2013-01-01,7,10,7,10,17
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2013-01-01,24,51,24,51,75
BELLA FLOR,atencion odontologica,restauraciones,2013-01-01,6,2,6,2,8
BERMEJO,atencion odontologica,restauraciones,2013-01-01,125,353,125,353,478
BETANZOS,atencion odontologica,restauraciones,2013-01-01,51,74,51,74,125
BOLIVAR,atencion odontologica,restauraciones,2013-01-01,7,14,7,14,21
BOYUIBE,atencion odontologica,restauraciones,2013-01-01,21,55,21,55,76
BUENA VISTA,atencion odontologica,restauraciones,2013-01-01,21,32,21,32,53
CABEZAS,atencion odontologica,restauraciones,2013-01-01,28,64,28,64,92
CAIROMA,atencion odontologica,restauraciones,2013-01-01,24,29,24,29,53
"CAIZA ""D""",atencion odontologica,restauraciones,2013-01-01,27,39,27,39,66
CAJUATA,atencion odontologica,restauraciones,2013-01-01,19,29,19,29,48
CALACOTO,atencion odontologica,restauraciones,2013-01-01,21,15,21,15,36
CALAMARCA,atencion odontologica,restauraciones,2013-01-01,49,95,49,95,144
CAMARGO,atencion odontologica,restauraciones,2013-01-01,42,87,42,87,129
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2013-01-01,12,30,12,30,42
CAMIRI,atencion odontologica,restauraciones,2013-01-01,110,213,110,213,323
CAPINOTA,atencion odontologica,restauraciones,2013-01-01,186,259,186,259,445
CAQUIAVIRI,atencion odontologica,restauraciones,2013-01-01,4,14,4,14,18
CARACOLLO,atencion odontologica,restauraciones,2013-01-01,50,101,50,101,151
CARANAVI,atencion odontologica,restauraciones,2013-01-01,29,54,29,54,83
CARAPARI,atencion odontologica,restauraciones,2013-01-01,78,196,78,196,274
CARIPUYO,atencion odontologica,restauraciones,2013-01-01,17,15,17,15,32
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2013-01-01,5,10,5,10,15
CATACORA,atencion odontologica,restauraciones,2013-01-01,5,25,5,25,30
CHALLAPATA,atencion odontologica,restauraciones,2013-01-01,133,226,133,226,359
CHAQUI,atencion odontologica,restauraciones,2013-01-01,0,6,0,6,6
CHARAGUA,atencion odontologica,restauraciones,2013-01-01,31,64,31,64,95
