,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,otras acciones,2013-01-01,0,1,0,1,1
ACHACACHI,atencion odontologica,otras acciones,2013-01-01,48,87,48,87,135
ACHOCALLA,atencion odontologica,otras acciones,2013-01-01,20,50,20,50,70
AIQUILE,atencion odontologica,otras acciones,2013-01-01,0,5,0,5,5
ALCALA,atencion odontologica,otras acciones,2013-01-01,11,24,11,24,35
ALTO BENI,atencion odontologica,otras acciones,2013-01-01,0,2,0,2,2
ANCORAIMES,atencion odontologica,otras acciones,2013-01-01,4,2,4,2,6
ANDAMARCA,atencion odontologica,otras acciones,2013-01-01,16,20,16,20,36
ANTEQUERA,atencion odontologica,otras acciones,2013-01-01,37,27,37,27,64
ANZALDO,atencion odontologica,otras acciones,2013-01-01,6,6,6,6,12
APOLO,atencion odontologica,otras acciones,2013-01-01,3,6,3,6,9
ARAMPAMPA,atencion odontologica,otras acciones,2013-01-01,2,0,2,0,2
ARANI,atencion odontologica,otras acciones,2013-01-01,36,55,36,55,91
ARBIETO,atencion odontologica,otras acciones,2013-01-01,5,8,5,8,13
ARQUE,atencion odontologica,otras acciones,2013-01-01,8,15,8,15,23
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2013-01-01,12,24,12,24,36
ATOCHA,atencion odontologica,otras acciones,2013-01-01,154,198,154,198,352
AYATA,atencion odontologica,otras acciones,2013-01-01,5,10,5,10,15
AYO AYO,atencion odontologica,otras acciones,2013-01-01,3,30,3,30,33
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2013-01-01,34,37,34,37,71
AZURDUY,atencion odontologica,otras acciones,2013-01-01,9,23,9,23,32
BATALLAS,atencion odontologica,otras acciones,2013-01-01,0,1,0,1,1
BAURES,atencion odontologica,otras acciones,2013-01-01,5,8,5,8,13
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2013-01-01,5,18,5,18,23
BELEN DE URMIRI,atencion odontologica,otras acciones,2013-01-01,1,2,1,2,3
BELLA FLOR,atencion odontologica,otras acciones,2013-01-01,3,0,3,0,3
BERMEJO,atencion odontologica,otras acciones,2013-01-01,6,21,6,21,27
BETANZOS,atencion odontologica,otras acciones,2013-01-01,16,18,16,18,34
BOLIVAR,atencion odontologica,otras acciones,2013-01-01,3,5,3,5,8
BUENA VISTA,atencion odontologica,otras acciones,2013-01-01,11,21,11,21,32
CABEZAS,atencion odontologica,otras acciones,2013-01-01,51,97,51,97,148
CAIROMA,atencion odontologica,otras acciones,2013-01-01,15,25,15,25,40
"CAIZA ""D""",atencion odontologica,otras acciones,2013-01-01,25,57,25,57,82
CALACOTO,atencion odontologica,otras acciones,2013-01-01,7,5,7,5,12
CALAMARCA,atencion odontologica,otras acciones,2013-01-01,24,50,24,50,74
CAMARGO,atencion odontologica,otras acciones,2013-01-01,80,134,80,134,214
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2013-01-01,54,118,54,118,172
CAMIRI,atencion odontologica,otras acciones,2013-01-01,73,138,73,138,211
CAPINOTA,atencion odontologica,otras acciones,2013-01-01,20,26,20,26,46
CAQUIAVIRI,atencion odontologica,otras acciones,2013-01-01,24,23,24,23,47
CARACOLLO,atencion odontologica,otras acciones,2013-01-01,73,172,73,172,245
CARANAVI,atencion odontologica,otras acciones,2013-01-01,33,28,33,28,61
CARAPARI,atencion odontologica,otras acciones,2013-01-01,22,33,22,33,55
CARIPUYO,atencion odontologica,otras acciones,2013-01-01,23,21,23,21,44
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2013-01-01,12,19,12,19,31
CHACARILLA,atencion odontologica,otras acciones,2013-01-01,3,0,3,0,3
CHALLAPATA,atencion odontologica,otras acciones,2013-01-01,92,105,92,105,197
CHAQUI,atencion odontologica,otras acciones,2013-01-01,0,7,0,7,7
CHARAGUA,atencion odontologica,otras acciones,2013-01-01,4,7,4,7,11
CHARAÑA,atencion odontologica,otras acciones,2013-01-01,8,7,8,7,15
CHAYANTA,atencion odontologica,otras acciones,2013-01-01,7,27,7,27,34
