,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,5,4,5,4,9
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,37,41,37,41,78
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,2,0,2,2
ANTEQUERA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,23,23,23,23,46
BATALLAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,36,37,36,37,73
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,0,2,0,2
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,15,28,15,28,43
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,1,0,1,1
CAJUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,11,19,11,19,30
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,14,0,14,14
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,12,14,12,14,26
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,1,1,1,2
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,7,2,7,9
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,4,2,4,2,6
CHACARILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,3,4,3,4,7
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,14,24,14,24,38
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,8,7,8,7,15
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,0,2,0,2
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,1,0,1,1
CHOQUE COTA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,23,0,23,23
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,4,5,4,5,9
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,15,18,15,18,33
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,10,1,10,11
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,36,56,36,56,92
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,40,101,40,101,141
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,1,0,1,0,1
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,6,2,6,8
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,8,19,8,19,27
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,26,23,26,23,49
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,25,18,25,18,43
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,1,2,1,3
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,22,4,22,4,26
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,0,1,0,1,1
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,2,2,2,2,4
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,33,42,33,42,75
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2013-01-01,5,18,5,18,23
