,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,endodoncias,2013-01-01,43,72,43,72,115
ACHOCALLA,atencion odontologica,endodoncias,2013-01-01,7,10,7,10,17
AIQUILE,atencion odontologica,endodoncias,2013-01-01,22,40,22,40,62
ALCALA,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
ANDAMARCA,atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
ANTEQUERA,atencion odontologica,endodoncias,2013-01-01,8,1,8,1,9
ANZALDO,atencion odontologica,endodoncias,2013-01-01,1,5,1,5,6
APOLO,atencion odontologica,endodoncias,2013-01-01,1,4,1,4,5
ARANI,atencion odontologica,endodoncias,2013-01-01,12,22,12,22,34
ARBIETO,atencion odontologica,endodoncias,2013-01-01,1,10,1,10,11
ARQUE,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2013-01-01,0,8,0,8,8
ATOCHA,atencion odontologica,endodoncias,2013-01-01,129,168,129,168,297
AYATA,atencion odontologica,endodoncias,2013-01-01,4,2,4,2,6
AYO AYO,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2013-01-01,32,31,32,31,63
BAURES,atencion odontologica,endodoncias,2013-01-01,1,4,1,4,5
BELEN DE ANDAMARCA,atencion odontologica,endodoncias,2013-01-01,3,7,3,7,10
BERMEJO,atencion odontologica,endodoncias,2013-01-01,27,53,27,53,80
BETANZOS,atencion odontologica,endodoncias,2013-01-01,4,6,4,6,10
BOYUIBE,atencion odontologica,endodoncias,2013-01-01,4,8,4,8,12
BUENA VISTA,atencion odontologica,endodoncias,2013-01-01,5,1,5,1,6
CABEZAS,atencion odontologica,endodoncias,2013-01-01,2,1,2,1,3
CAIROMA,atencion odontologica,endodoncias,2013-01-01,1,6,1,6,7
"CAIZA ""D""",atencion odontologica,endodoncias,2013-01-01,1,0,1,0,1
CALAMARCA,atencion odontologica,endodoncias,2013-01-01,7,21,7,21,28
CAMARGO,atencion odontologica,endodoncias,2013-01-01,8,12,8,12,20
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2013-01-01,0,8,0,8,8
CAMIRI,atencion odontologica,endodoncias,2013-01-01,22,65,22,65,87
CAPINOTA,atencion odontologica,endodoncias,2013-01-01,21,39,21,39,60
CARACOLLO,atencion odontologica,endodoncias,2013-01-01,10,19,10,19,29
CARANAVI,atencion odontologica,endodoncias,2013-01-01,7,12,7,12,19
CARAPARI,atencion odontologica,endodoncias,2013-01-01,21,26,21,26,47
CARIPUYO,atencion odontologica,endodoncias,2013-01-01,1,1,1,1,2
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,endodoncias,2013-01-01,20,23,20,23,43
CHAQUI,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
CHARAGUA,atencion odontologica,endodoncias,2013-01-01,3,9,3,9,12
CHARAÑA,atencion odontologica,endodoncias,2013-01-01,0,2,0,2,2
CHAYANTA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
CHIMORE,atencion odontologica,endodoncias,2013-01-01,10,13,10,13,23
CHIPAYA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CHOQUE COTA,atencion odontologica,endodoncias,2013-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2013-01-01,17,17,17,17,34
CHUMA,atencion odontologica,endodoncias,2013-01-01,6,9,6,9,15
CKOCHAS,atencion odontologica,endodoncias,2013-01-01,3,3,3,3,6
CLIZA,atencion odontologica,endodoncias,2013-01-01,12,21,12,21,33
COBIJA,atencion odontologica,endodoncias,2013-01-01,15,21,15,21,36
COCAPATA,atencion odontologica,endodoncias,2013-01-01,1,3,1,3,4
COCHABAMBA,atencion odontologica,endodoncias,2013-01-01,1273,1525,1273,1525,2798
COIPASA,atencion odontologica,endodoncias,2013-01-01,1,2,1,2,3
