,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2,10,2,10,12
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,138,251,138,251,389
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,28,104,28,104,132
AIQUILE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,51,70,51,70,121
ALCALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,37,112,37,112,149
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,17,38,17,38,55
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,48,26,48,74
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,32,31,32,31,63
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,59,58,59,58,117
ANZALDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,66,29,66,95
APOLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,23,50,23,50,73
ARAMPAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,0,14,0,14,14
ARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,58,127,58,127,185
ARBIETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,47,70,47,70,117
ARQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,40,64,40,64,104
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,22,35,22,35,57
ATOCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,360,490,360,490,850
AUCAPATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,11,8,11,8,19
AYATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,59,29,59,88
AYO AYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,18,34,18,34,52
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,110,155,110,155,265
AZURDUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,26,42,26,42,68
BATALLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,39,29,39,68
BAURES,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,6,14,6,14,20
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,14,23,14,23,37
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,2,5,2,5,7
BELLA FLOR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,12,30,12,30,42
BERMEJO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,396,492,396,492,888
BETANZOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,89,131,89,131,220
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,29,38,29,38,67
BOLPEBRA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,5,11,5,11,16
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,38,61,38,61,99
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,12,11,12,11,23
CABEZAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,148,247,148,247,395
CAIROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,81,84,81,84,165
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,51,96,51,96,147
CAJUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,34,50,34,50,84
CALACOTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2013-01-01,55,32,55,32,87
