,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,4,0,4,4
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,31,0,31,31
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,50,0,50,50
AIQUILE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,111,0,111,111
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,26,0,26,26
ALTO BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,11,0,11,11
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,7,0,7,7
ANZALDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,71,0,71,71
ARAMPAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
ARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,93,0,93,93
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,82,0,82,82
ARQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,27,0,27,27
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,47,0,47,47
ATOCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
AUCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
AYATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
AYO AYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,63,0,63,63
AZURDUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,8,0,8,8
BATALLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,6,0,6,6
BAURES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,14,0,14,14
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,5,0,5,5
BELLA FLOR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,1,0,1,1
BERMEJO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,36,0,36,36
BETANZOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,17,0,17,17
BOLIVAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,3,0,3,3
BOLPEBRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,21,0,21,21
BOYUIBE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,20,0,20,20
BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,8,0,8,8
CABEZAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,48,0,48,48
CAIROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,12,0,12,12
"CAIZA ""D""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,22,0,22,22
CAJUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2013-01-01,0,13,0,13,13
