,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2013-01-01,0,5,0,5,5
ACHACACHI,atencion odontologica,cirugia bucal menor,2013-01-01,92,145,92,145,237
ACHOCALLA,atencion odontologica,cirugia bucal menor,2013-01-01,28,56,28,56,84
AIQUILE,atencion odontologica,cirugia bucal menor,2013-01-01,19,11,19,11,30
ALCALA,atencion odontologica,cirugia bucal menor,2013-01-01,10,28,10,28,38
ALTO BENI,atencion odontologica,cirugia bucal menor,2013-01-01,11,16,11,16,27
ANCORAIMES,atencion odontologica,cirugia bucal menor,2013-01-01,40,51,40,51,91
ANDAMARCA,atencion odontologica,cirugia bucal menor,2013-01-01,14,17,14,17,31
ANTEQUERA,atencion odontologica,cirugia bucal menor,2013-01-01,25,29,25,29,54
ANZALDO,atencion odontologica,cirugia bucal menor,2013-01-01,4,25,4,25,29
APOLO,atencion odontologica,cirugia bucal menor,2013-01-01,12,53,12,53,65
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2013-01-01,2,10,2,10,12
ARANI,atencion odontologica,cirugia bucal menor,2013-01-01,22,17,22,17,39
ARBIETO,atencion odontologica,cirugia bucal menor,2013-01-01,8,12,8,12,20
ARQUE,atencion odontologica,cirugia bucal menor,2013-01-01,16,14,16,14,30
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2013-01-01,19,35,19,35,54
ATOCHA,atencion odontologica,cirugia bucal menor,2013-01-01,88,115,88,115,203
AUCAPATA,atencion odontologica,cirugia bucal menor,2013-01-01,6,8,6,8,14
AYATA,atencion odontologica,cirugia bucal menor,2013-01-01,12,38,12,38,50
AYO AYO,atencion odontologica,cirugia bucal menor,2013-01-01,41,26,41,26,67
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2013-01-01,60,93,60,93,153
AZURDUY,atencion odontologica,cirugia bucal menor,2013-01-01,10,31,10,31,41
BATALLAS,atencion odontologica,cirugia bucal menor,2013-01-01,31,36,31,36,67
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2013-01-01,9,10,9,10,19
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2013-01-01,1,4,1,4,5
BELLA FLOR,atencion odontologica,cirugia bucal menor,2013-01-01,4,11,4,11,15
BERMEJO,atencion odontologica,cirugia bucal menor,2013-01-01,112,254,112,254,366
BETANZOS,atencion odontologica,cirugia bucal menor,2013-01-01,36,52,36,52,88
BOLIVAR,atencion odontologica,cirugia bucal menor,2013-01-01,13,14,13,14,27
BOLPEBRA,atencion odontologica,cirugia bucal menor,2013-01-01,7,6,7,6,13
BOYUIBE,atencion odontologica,cirugia bucal menor,2013-01-01,8,15,8,15,23
BUENA VISTA,atencion odontologica,cirugia bucal menor,2013-01-01,9,6,9,6,15
CABEZAS,atencion odontologica,cirugia bucal menor,2013-01-01,54,72,54,72,126
CAIROMA,atencion odontologica,cirugia bucal menor,2013-01-01,43,39,43,39,82
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2013-01-01,11,13,11,13,24
CAJUATA,atencion odontologica,cirugia bucal menor,2013-01-01,32,39,32,39,71
CALACOTO,atencion odontologica,cirugia bucal menor,2013-01-01,8,12,8,12,20
CALAMARCA,atencion odontologica,cirugia bucal menor,2013-01-01,60,62,60,62,122
CAMARGO,atencion odontologica,cirugia bucal menor,2013-01-01,29,44,29,44,73
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2013-01-01,16,24,16,24,40
CAMIRI,atencion odontologica,cirugia bucal menor,2013-01-01,81,128,81,128,209
CAPINOTA,atencion odontologica,cirugia bucal menor,2013-01-01,42,22,42,22,64
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2013-01-01,15,27,15,27,42
CARACOLLO,atencion odontologica,cirugia bucal menor,2013-01-01,46,92,46,92,138
CARANAVI,atencion odontologica,cirugia bucal menor,2013-01-01,7,18,7,18,25
CARAPARI,atencion odontologica,cirugia bucal menor,2013-01-01,67,94,67,94,161
