,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
ACHACACHI,atencion odontologica,periodoncias,2013-01-01,5,7,5,7,12
ACHOCALLA,atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
AIQUILE,atencion odontologica,periodoncias,2013-01-01,10,34,10,34,44
ALCALA,atencion odontologica,periodoncias,2013-01-01,1,13,1,13,14
ANDAMARCA,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
ANZALDO,atencion odontologica,periodoncias,2013-01-01,2,2,2,2,4
APOLO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
ARANI,atencion odontologica,periodoncias,2013-01-01,3,16,3,16,19
ARBIETO,atencion odontologica,periodoncias,2013-01-01,4,40,4,40,44
ARQUE,atencion odontologica,periodoncias,2013-01-01,1,8,1,8,9
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2013-01-01,1,4,1,4,5
ATOCHA,atencion odontologica,periodoncias,2013-01-01,39,23,39,23,62
AYATA,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
AYO AYO,atencion odontologica,periodoncias,2013-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2013-01-01,9,16,9,16,25
AZURDUY,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
BATALLAS,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
BELEN DE ANDAMARCA,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
BELLA FLOR,atencion odontologica,periodoncias,2013-01-01,2,0,2,0,2
BERMEJO,atencion odontologica,periodoncias,2013-01-01,28,35,28,35,63
BETANZOS,atencion odontologica,periodoncias,2013-01-01,3,10,3,10,13
BOLIVAR,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
BUENA VISTA,atencion odontologica,periodoncias,2013-01-01,1,0,1,0,1
CABEZAS,atencion odontologica,periodoncias,2013-01-01,31,17,31,17,48
CAIROMA,atencion odontologica,periodoncias,2013-01-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica,periodoncias,2013-01-01,0,4,0,4,4
CAMARGO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
CAMIRI,atencion odontologica,periodoncias,2013-01-01,23,62,23,62,85
CAPINOTA,atencion odontologica,periodoncias,2013-01-01,15,23,15,23,38
CARACOLLO,atencion odontologica,periodoncias,2013-01-01,11,11,11,11,22
CARANAVI,atencion odontologica,periodoncias,2013-01-01,46,57,46,57,103
CARAPARI,atencion odontologica,periodoncias,2013-01-01,7,14,7,14,21
CARIPUYO,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2013-01-01,5,8,5,8,13
CHALLAPATA,atencion odontologica,periodoncias,2013-01-01,3,11,3,11,14
CHARAGUA,atencion odontologica,periodoncias,2013-01-01,6,10,6,10,16
CHIMORE,atencion odontologica,periodoncias,2013-01-01,1,1,1,1,2
CHIPAYA,atencion odontologica,periodoncias,2013-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2013-01-01,1,8,1,8,9
CHUMA,atencion odontologica,periodoncias,2013-01-01,2,5,2,5,7
CKOCHAS,atencion odontologica,periodoncias,2013-01-01,0,2,0,2,2
CLIZA,atencion odontologica,periodoncias,2013-01-01,18,30,18,30,48
COBIJA,atencion odontologica,periodoncias,2013-01-01,3,13,3,13,16
COCAPATA,atencion odontologica,periodoncias,2013-01-01,1,5,1,5,6
COCHABAMBA,atencion odontologica,periodoncias,2013-01-01,1889,2772,1889,2772,4661
COIPASA,atencion odontologica,periodoncias,2013-01-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica,periodoncias,2013-01-01,11,16,11,16,27
COLOMI,atencion odontologica,periodoncias,2013-01-01,0,8,0,8,8
COLPA BELGICA,atencion odontologica,periodoncias,2013-01-01,0,8,0,8,8
