,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,28,36,28,36,64
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,9,16,9,16,25
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,27,48,27,48,75
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,14,18,14,18,32
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,9,6,9,15
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,5,5,5,5,10
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,1,7,1,8
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,9,0,9,9
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,20,29,20,29,49
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,20,34,20,34,54
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,18,0,18,0,18
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,70,22,70,22,92
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,52,55,52,55,107
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,7,3,7,3,10
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,10,2,10,12
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,18,35,18,35,53
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,1,2,1,2,3
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,5,2,5,7
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,182,216,182,216,398
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,13,12,13,12,25
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,9,4,9,13
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,2,0,2,2
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,2,3,2,5
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,76,145,76,145,221
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,14,29,14,29,43
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,2,3,2,3,5
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,5,0,5,5
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,3,5,3,5,8
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,6,4,6,10
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,77,63,77,63,140
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,4,6,4,6,10
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,10,25,10,25,35
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,37,35,37,35,72
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,7,0,7,7
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,42,55,42,55,97
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,6,19,6,19,25
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,0,2,0,2,2
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2013-01-01,49,77,49,77,126
