,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,32,29,32,29,61
ACHOCALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,3,1,3,1,4
AIQUILE,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,4,0,4,0,4
ALCALA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,5,4,5,4,9
ALTO BENI,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,2,2,2,2,4
ANCORAIMES,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,22,4,22,4,26
ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,8,6,8,6,14
ANTEQUERA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,4,1,4,1,5
ANZALDO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,19,11,19,11,30
APOLO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,2,9,2,9,11
ARAMPAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,2,0,2,2
ARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,1,19,1,19,20
ARBIETO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,4,0,4,0,4
ARQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,10,4,10,4,14
ATOCHA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,26,17,26,17,43
AUCAPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,5,0,5,5
AYATA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,7,0,7,7
AYO AYO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,10,10,10,10,20
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,9,9,9,9,18
AZURDUY,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,4,0,4,4
BATALLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,7,8,7,8,15
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,1,0,1,1
BELLA FLOR,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,1,0,1,0,1
BERMEJO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,76,72,76,72,148
BETANZOS,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,15,10,15,10,25
BOLIVAR,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,0,3,0,3,3
BOYUIBE,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,2,0,2,0,2
BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,1,0,1,0,1
CABEZAS,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,3,5,3,5,8
CAIROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,6,6,6,6,12
"CAIZA ""D""",atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,2,4,2,4,6
CAJUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,5,3,5,3,8
CALACOTO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,6,0,6,0,6
CALAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,8,5,8,5,13
CAMARGO,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,4,20,4,20,24
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,12,2,12,2,14
CAMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2013-01-01,19,7,19,7,26
