,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,0,1,0,1
ACHACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,95,66,95,66,161
ACHOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,49,56,49,56,105
AIQUILE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,51,46,51,46,97
ALCALA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,97,81,97,81,178
ALTO BENI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,10,5,10,15
ANCORAIMES,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,5,12,5,17
ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,8,2,8,2,10
ANTEQUERA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,20,17,20,17,37
ANZALDO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,7,2,7,9
APOLO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,43,14,43,14,57
ARAMPAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,23,23,23,23,46
ARANI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,160,92,160,92,252
ARBIETO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,91,97,91,97,188
ARQUE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,20,7,20,27
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,25,4,25,29
ATOCHA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,42,26,42,26,68
AUCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,5,0,5,0,5
AYATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,2,6,2,6,8
AYO AYO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,12,6,12,6,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,87,98,87,98,185
AZURDUY,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,14,28,14,28,42
BATALLAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,4,7,4,7,11
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,8,9,8,9,17
BELLA FLOR,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,32,25,32,25,57
BERMEJO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,21,15,21,15,36
BETANZOS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,10,28,10,28,38
BOLIVAR,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,1,1,1,1,2
BOLPEBRA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,29,34,29,34,63
BOYUIBE,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,6,7,6,7,13
BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,7,3,7,3,10
CABEZAS,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,35,37,35,37,72
CAIROMA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,3,3,3,3,6
"CAIZA ""D""",atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,15,21,15,21,36
CAJUATA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,35,43,35,43,78
CALACOTO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,13,14,13,14,27
CALAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,66,70,66,70,136
CAMARGO,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,43,65,43,65,108
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,18,28,18,28,46
CAMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2013-01-01,103,89,103,89,192
