,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2013-01-01,2,6,2,6,8
ACHACACHI,atencion odontologica,primera consulta,2013-01-01,142,167,142,167,309
ACHOCALLA,atencion odontologica,primera consulta,2013-01-01,54,87,54,87,141
AIQUILE,atencion odontologica,primera consulta,2013-01-01,54,78,54,78,132
ALCALA,atencion odontologica,primera consulta,2013-01-01,131,203,131,203,334
ALTO BENI,atencion odontologica,primera consulta,2013-01-01,19,41,19,41,60
ANCORAIMES,atencion odontologica,primera consulta,2013-01-01,24,25,24,25,49
ANDAMARCA,atencion odontologica,primera consulta,2013-01-01,28,23,28,23,51
ANTEQUERA,atencion odontologica,primera consulta,2013-01-01,54,55,54,55,109
ANZALDO,atencion odontologica,primera consulta,2013-01-01,18,29,18,29,47
APOLO,atencion odontologica,primera consulta,2013-01-01,18,33,18,33,51
ARAMPAMPA,atencion odontologica,primera consulta,2013-01-01,2,9,2,9,11
ARANI,atencion odontologica,primera consulta,2013-01-01,47,65,47,65,112
ARBIETO,atencion odontologica,primera consulta,2013-01-01,45,69,45,69,114
ARQUE,atencion odontologica,primera consulta,2013-01-01,19,41,19,41,60
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2013-01-01,15,45,15,45,60
ATOCHA,atencion odontologica,primera consulta,2013-01-01,364,415,364,415,779
AUCAPATA,atencion odontologica,primera consulta,2013-01-01,6,5,6,5,11
AYATA,atencion odontologica,primera consulta,2013-01-01,22,48,22,48,70
AYO AYO,atencion odontologica,primera consulta,2013-01-01,38,40,38,40,78
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2013-01-01,87,134,87,134,221
AZURDUY,atencion odontologica,primera consulta,2013-01-01,20,40,20,40,60
BATALLAS,atencion odontologica,primera consulta,2013-01-01,38,51,38,51,89
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2013-01-01,22,34,22,34,56
BELEN DE URMIRI,atencion odontologica,primera consulta,2013-01-01,2,6,2,6,8
BELLA FLOR,atencion odontologica,primera consulta,2013-01-01,12,19,12,19,31
BERMEJO,atencion odontologica,primera consulta,2013-01-01,321,514,321,514,835
BETANZOS,atencion odontologica,primera consulta,2013-01-01,79,131,79,131,210
BOLIVAR,atencion odontologica,primera consulta,2013-01-01,13,20,13,20,33
BOLPEBRA,atencion odontologica,primera consulta,2013-01-01,35,65,35,65,100
BOYUIBE,atencion odontologica,primera consulta,2013-01-01,22,38,22,38,60
BUENA VISTA,atencion odontologica,primera consulta,2013-01-01,33,41,33,41,74
CABEZAS,atencion odontologica,primera consulta,2013-01-01,152,216,152,216,368
CAIROMA,atencion odontologica,primera consulta,2013-01-01,60,118,60,118,178
"CAIZA ""D""",atencion odontologica,primera consulta,2013-01-01,59,103,59,103,162
CAJUATA,atencion odontologica,primera consulta,2013-01-01,70,99,70,99,169
CALACOTO,atencion odontologica,primera consulta,2013-01-01,53,15,53,15,68
CALAMARCA,atencion odontologica,primera consulta,2013-01-01,126,176,126,176,302
CAMARGO,atencion odontologica,primera consulta,2013-01-01,61,118,61,118,179
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2013-01-01,68,104,68,104,172
CAMIRI,atencion odontologica,primera consulta,2013-01-01,217,331,217,331,548
CAPINOTA,atencion odontologica,primera consulta,2013-01-01,174,187,174,187,361
CAQUIAVIRI,atencion odontologica,primera consulta,2013-01-01,35,57,35,57,92
CARACOLLO,atencion odontologica,primera consulta,2013-01-01,92,163,92,163,255
CARANAVI,atencion odontologica,primera consulta,2013-01-01,65,88,65,88,153
CARAPARI,atencion odontologica,primera consulta,2013-01-01,155,231,155,231,386
CARIPUYO,atencion odontologica,primera consulta,2013-01-01,44,45,44,45,89
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2013-01-01,17,25,17,25,42
CATACORA,atencion odontologica,primera consulta,2013-01-01,15,25,15,25,40
CHACARILLA,atencion odontologica,primera consulta,2013-01-01,6,4,6,4,10
CHALLAPATA,atencion odontologica,primera consulta,2013-01-01,167,286,167,286,453
