,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2011-01-01,0,2,0,2,2
ACHACACHI,atencion odontologica,restauraciones,2011-01-01,41,53,41,53,94
ACHOCALLA,atencion odontologica,restauraciones,2011-01-01,16,32,16,32,48
AIQUILE,atencion odontologica,restauraciones,2011-01-01,19,62,19,62,81
ALCALA,atencion odontologica,restauraciones,2011-01-01,7,28,7,28,35
ALTO BENI,atencion odontologica,restauraciones,2011-01-01,16,19,16,19,35
ANCORAIMES,atencion odontologica,restauraciones,2011-01-01,7,5,7,5,12
ANDAMARCA,atencion odontologica,restauraciones,2011-01-01,7,25,7,25,32
ANTEQUERA,atencion odontologica,restauraciones,2011-01-01,17,26,17,26,43
ANZALDO,atencion odontologica,restauraciones,2011-01-01,10,17,10,17,27
APOLO,atencion odontologica,restauraciones,2011-01-01,44,78,44,78,122
ARAMPAMPA,atencion odontologica,restauraciones,2011-01-01,3,1,3,1,4
ARANI,atencion odontologica,restauraciones,2011-01-01,11,10,11,10,21
ARBIETO,atencion odontologica,restauraciones,2011-01-01,35,49,35,49,84
ARQUE,atencion odontologica,restauraciones,2011-01-01,18,13,18,13,31
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2011-01-01,5,30,5,30,35
ATOCHA,atencion odontologica,restauraciones,2011-01-01,133,173,133,173,306
AYATA,atencion odontologica,restauraciones,2011-01-01,12,35,12,35,47
AYO AYO,atencion odontologica,restauraciones,2011-01-01,21,25,21,25,46
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2011-01-01,4,6,4,6,10
AZURDUY,atencion odontologica,restauraciones,2011-01-01,2,12,2,12,14
BATALLAS,atencion odontologica,restauraciones,2011-01-01,8,28,8,28,36
BAURES,atencion odontologica,restauraciones,2011-01-01,5,18,5,18,23
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2011-01-01,2,2,2,2,4
BELEN DE URMIRI,atencion odontologica,restauraciones,2011-01-01,3,12,3,12,15
BERMEJO,atencion odontologica,restauraciones,2011-01-01,127,270,127,270,397
BETANZOS,atencion odontologica,restauraciones,2011-01-01,22,36,22,36,58
BOLIVAR,atencion odontologica,restauraciones,2011-01-01,12,22,12,22,34
BOYUIBE,atencion odontologica,restauraciones,2011-01-01,23,23,23,23,46
CABEZAS,atencion odontologica,restauraciones,2011-01-01,23,51,23,51,74
CAIROMA,atencion odontologica,restauraciones,2011-01-01,5,25,5,25,30
"CAIZA ""D""",atencion odontologica,restauraciones,2011-01-01,23,12,23,12,35
CAJUATA,atencion odontologica,restauraciones,2011-01-01,13,0,13,0,13
CALACOTO,atencion odontologica,restauraciones,2011-01-01,30,29,30,29,59
CALAMARCA,atencion odontologica,restauraciones,2011-01-01,41,78,41,78,119
CAMARGO,atencion odontologica,restauraciones,2011-01-01,100,143,100,143,243
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2011-01-01,11,13,11,13,24
CAMIRI,atencion odontologica,restauraciones,2011-01-01,119,266,119,266,385
CAPINOTA,atencion odontologica,restauraciones,2011-01-01,76,102,76,102,178
CAQUIAVIRI,atencion odontologica,restauraciones,2011-01-01,9,18,9,18,27
CARACOLLO,atencion odontologica,restauraciones,2011-01-01,68,130,68,130,198
CARANAVI,atencion odontologica,restauraciones,2011-01-01,34,26,34,26,60
CARAPARI,atencion odontologica,restauraciones,2011-01-01,64,144,64,144,208
CARIPUYO,atencion odontologica,restauraciones,2011-01-01,42,17,42,17,59
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2011-01-01,5,8,5,8,13
CATACORA,atencion odontologica,restauraciones,2011-01-01,13,17,13,17,30
CHALLAPATA,atencion odontologica,restauraciones,2011-01-01,62,128,62,128,190
CHAQUI,atencion odontologica,restauraciones,2011-01-01,5,9,5,9,14
CHARAGUA,atencion odontologica,restauraciones,2011-01-01,41,92,41,92,133
CHARAÑA,atencion odontologica,restauraciones,2011-01-01,1,0,1,0,1
CHAYANTA,atencion odontologica,restauraciones,2011-01-01,21,67,21,67,88
