,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,otras acciones,2011-01-01,23,24,23,24,47
ACHACACHI,atencion odontologica,otras acciones,2011-01-01,55,60,55,60,115
ACHOCALLA,atencion odontologica,otras acciones,2011-01-01,6,7,6,7,13
ALCALA,atencion odontologica,otras acciones,2011-01-01,6,38,6,38,44
ALTO BENI,atencion odontologica,otras acciones,2011-01-01,9,12,9,12,21
ANCORAIMES,atencion odontologica,otras acciones,2011-01-01,7,4,7,4,11
ANDAMARCA,atencion odontologica,otras acciones,2011-01-01,21,49,21,49,70
ANTEQUERA,atencion odontologica,otras acciones,2011-01-01,44,77,44,77,121
ANZALDO,atencion odontologica,otras acciones,2011-01-01,5,0,5,0,5
APOLO,atencion odontologica,otras acciones,2011-01-01,33,83,33,83,116
ARAMPAMPA,atencion odontologica,otras acciones,2011-01-01,3,1,3,1,4
ARQUE,atencion odontologica,otras acciones,2011-01-01,2,2,2,2,4
ATOCHA,atencion odontologica,otras acciones,2011-01-01,200,226,200,226,426
AYATA,atencion odontologica,otras acciones,2011-01-01,1,6,1,6,7
AYO AYO,atencion odontologica,otras acciones,2011-01-01,7,18,7,18,25
BATALLAS,atencion odontologica,otras acciones,2011-01-01,2,3,2,3,5
BAURES,atencion odontologica,otras acciones,2011-01-01,1,4,1,4,5
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2011-01-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,otras acciones,2011-01-01,4,9,4,9,13
BERMEJO,atencion odontologica,otras acciones,2011-01-01,25,68,25,68,93
BETANZOS,atencion odontologica,otras acciones,2011-01-01,2,9,2,9,11
BOLIVAR,atencion odontologica,otras acciones,2011-01-01,0,1,0,1,1
CABEZAS,atencion odontologica,otras acciones,2011-01-01,17,38,17,38,55
CAIROMA,atencion odontologica,otras acciones,2011-01-01,20,16,20,16,36
"CAIZA ""D""",atencion odontologica,otras acciones,2011-01-01,20,33,20,33,53
CALACOTO,atencion odontologica,otras acciones,2011-01-01,2,3,2,3,5
CALAMARCA,atencion odontologica,otras acciones,2011-01-01,48,69,48,69,117
CAMARGO,atencion odontologica,otras acciones,2011-01-01,58,132,58,132,190
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2011-01-01,41,32,41,32,73
CAMIRI,atencion odontologica,otras acciones,2011-01-01,92,151,92,151,243
CAPINOTA,atencion odontologica,otras acciones,2011-01-01,84,68,84,68,152
CAQUIAVIRI,atencion odontologica,otras acciones,2011-01-01,14,27,14,27,41
CARACOLLO,atencion odontologica,otras acciones,2011-01-01,118,234,118,234,352
CARANAVI,atencion odontologica,otras acciones,2011-01-01,35,55,35,55,90
CARAPARI,atencion odontologica,otras acciones,2011-01-01,3,11,3,11,14
CARIPUYO,atencion odontologica,otras acciones,2011-01-01,10,30,10,30,40
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2011-01-01,10,17,10,17,27
CATACORA,atencion odontologica,otras acciones,2011-01-01,2,1,2,1,3
CHALLAPATA,atencion odontologica,otras acciones,2011-01-01,46,112,46,112,158
CHAQUI,atencion odontologica,otras acciones,2011-01-01,3,8,3,8,11
CHARAGUA,atencion odontologica,otras acciones,2011-01-01,5,8,5,8,13
CHAYANTA,atencion odontologica,otras acciones,2011-01-01,31,112,31,112,143
CHIMORE,atencion odontologica,otras acciones,2011-01-01,19,39,19,39,58
CHIPAYA,atencion odontologica,otras acciones,2011-01-01,5,6,5,6,11
CHOQUE COTA,atencion odontologica,otras acciones,2011-01-01,2,8,2,8,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2011-01-01,30,28,30,28,58
CHUMA,atencion odontologica,otras acciones,2011-01-01,15,15,15,15,30
CKOCHAS,atencion odontologica,otras acciones,2011-01-01,4,7,4,7,11
CLIZA,atencion odontologica,otras acciones,2011-01-01,86,118,86,118,204
COBIJA,atencion odontologica,otras acciones,2011-01-01,114,162,114,162,276
COCAPATA,atencion odontologica,otras acciones,2011-01-01,2,3,2,3,5
