,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,12,7,12,7,19
ACHACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,102,86,102,86,188
ACHOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,42,43,42,43,85
AIQUILE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,8,14,8,22
ALCALA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,51,39,51,39,90
ALTO BENI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,17,21,17,21,38
ANCORAIMES,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,22,23,22,23,45
ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,16,1,16,1,17
ANTEQUERA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,15,10,15,10,25
ANZALDO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,2,6,2,8
APOLO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,47,30,47,77
ARANI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,6,6,6,6,12
ARBIETO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,78,56,78,56,134
ARQUE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,14,95,14,95,109
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,8,9,8,9,17
ATOCHA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,29,18,29,18,47
AYATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,15,10,15,25
AYO AYO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,15,5,15,5,20
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,4,6,4,6,10
BATALLAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,15,28,15,28,43
BAURES,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,10,2,10,2,12
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,3,4,3,4,7
BELEN DE URMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,3,7,3,10
BERMEJO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,8,7,8,15
BETANZOS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,13,9,13,9,22
BOLIVAR,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,2,1,2,1,3
BOYUIBE,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,30,12,30,12,42
BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,5,6,5,6,11
CABEZAS,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,44,31,44,31,75
CAIROMA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,37,162,37,162,199
"CAIZA ""D""",atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,21,8,21,8,29
CAJUATA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,18,13,18,13,31
CALACOTO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,14,7,14,21
CALAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,59,94,59,94,153
CAMARGO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,29,41,29,41,70
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,7,8,7,8,15
CAMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,44,61,44,61,105
CAPINOTA,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,51,20,51,20,71
CAQUIAVIRI,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,19,9,19,9,28
CARACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2011-01-01,66,114,66,114,180
