,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,primera consulta,2011-01-01,23,24,23,24,47
ACHACACHI,atencion odontologica,primera consulta,2011-01-01,225,280,225,280,505
ACHOCALLA,atencion odontologica,primera consulta,2011-01-01,10,17,10,17,27
AIQUILE,atencion odontologica,primera consulta,2011-01-01,31,52,31,52,83
ALCALA,atencion odontologica,primera consulta,2011-01-01,68,93,68,93,161
ALTO BENI,atencion odontologica,primera consulta,2011-01-01,45,58,45,58,103
ANCORAIMES,atencion odontologica,primera consulta,2011-01-01,27,34,27,34,61
ANDAMARCA,atencion odontologica,primera consulta,2011-01-01,30,42,30,42,72
ANTEQUERA,atencion odontologica,primera consulta,2011-01-01,62,88,62,88,150
ANZALDO,atencion odontologica,primera consulta,2011-01-01,25,17,25,17,42
APOLO,atencion odontologica,primera consulta,2011-01-01,29,68,29,68,97
ARAMPAMPA,atencion odontologica,primera consulta,2011-01-01,4,4,4,4,8
ARANI,atencion odontologica,primera consulta,2011-01-01,19,33,19,33,52
ARBIETO,atencion odontologica,primera consulta,2011-01-01,59,135,59,135,194
ARQUE,atencion odontologica,primera consulta,2011-01-01,4,15,4,15,19
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2011-01-01,24,49,24,49,73
ATOCHA,atencion odontologica,primera consulta,2011-01-01,393,445,393,445,838
AYATA,atencion odontologica,primera consulta,2011-01-01,23,66,23,66,89
AYO AYO,atencion odontologica,primera consulta,2011-01-01,42,33,42,33,75
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2011-01-01,20,51,20,51,71
AZURDUY,atencion odontologica,primera consulta,2011-01-01,2,11,2,11,13
BATALLAS,atencion odontologica,primera consulta,2011-01-01,29,72,29,72,101
BAURES,atencion odontologica,primera consulta,2011-01-01,12,17,12,17,29
BELEN DE ANDAMARCA,atencion odontologica,primera consulta,2011-01-01,6,8,6,8,14
BELEN DE URMIRI,atencion odontologica,primera consulta,2011-01-01,13,17,13,17,30
BERMEJO,atencion odontologica,primera consulta,2011-01-01,129,242,129,242,371
BETANZOS,atencion odontologica,primera consulta,2011-01-01,135,89,135,89,224
BOLIVAR,atencion odontologica,primera consulta,2011-01-01,22,47,22,47,69
BOYUIBE,atencion odontologica,primera consulta,2011-01-01,19,28,19,28,47
BUENA VISTA,atencion odontologica,primera consulta,2011-01-01,18,21,18,21,39
CABEZAS,atencion odontologica,primera consulta,2011-01-01,66,166,66,166,232
CAIROMA,atencion odontologica,primera consulta,2011-01-01,87,101,87,101,188
"CAIZA ""D""",atencion odontologica,primera consulta,2011-01-01,17,22,17,22,39
CAJUATA,atencion odontologica,primera consulta,2011-01-01,24,38,24,38,62
CALACOTO,atencion odontologica,primera consulta,2011-01-01,69,34,69,34,103
CALAMARCA,atencion odontologica,primera consulta,2011-01-01,126,151,126,151,277
CAMARGO,atencion odontologica,primera consulta,2011-01-01,61,106,61,106,167
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2011-01-01,26,23,26,23,49
CAMIRI,atencion odontologica,primera consulta,2011-01-01,171,239,171,239,410
CAPINOTA,atencion odontologica,primera consulta,2011-01-01,154,169,154,169,323
CAQUIAVIRI,atencion odontologica,primera consulta,2011-01-01,55,70,55,70,125
CARACOLLO,atencion odontologica,primera consulta,2011-01-01,65,83,65,83,148
CARANAVI,atencion odontologica,primera consulta,2011-01-01,102,201,102,201,303
CARAPARI,atencion odontologica,primera consulta,2011-01-01,111,182,111,182,293
CARIPUYO,atencion odontologica,primera consulta,2011-01-01,37,68,37,68,105
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2011-01-01,38,39,38,39,77
CATACORA,atencion odontologica,primera consulta,2011-01-01,7,12,7,12,19
CHACARILLA,atencion odontologica,primera consulta,2011-01-01,3,14,3,14,17
CHALLAPATA,atencion odontologica,primera consulta,2011-01-01,111,212,111,212,323
CHAQUI,atencion odontologica,primera consulta,2011-01-01,8,18,8,18,26
CHARAGUA,atencion odontologica,primera consulta,2011-01-01,97,233,97,233,330
