,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ACHACACHI,atencion odontologica,periodoncias,2011-01-01,2,2,2,2,4
ACHOCALLA,atencion odontologica,periodoncias,2011-01-01,29,39,29,39,68
AIQUILE,atencion odontologica,periodoncias,2011-01-01,3,17,3,17,20
ALCALA,atencion odontologica,periodoncias,2011-01-01,1,4,1,4,5
ANCORAIMES,atencion odontologica,periodoncias,2011-01-01,0,5,0,5,5
ANDAMARCA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
ANZALDO,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
APOLO,atencion odontologica,periodoncias,2011-01-01,7,10,7,10,17
ARANI,atencion odontologica,periodoncias,2011-01-01,7,28,7,28,35
ARBIETO,atencion odontologica,periodoncias,2011-01-01,1,6,1,6,7
ARQUE,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
ATOCHA,atencion odontologica,periodoncias,2011-01-01,5,9,5,9,14
AYATA,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
AYO AYO,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
AZURDUY,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
BERMEJO,atencion odontologica,periodoncias,2011-01-01,52,79,52,79,131
BETANZOS,atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
BOLIVAR,atencion odontologica,periodoncias,2011-01-01,0,3,0,3,3
BOYUIBE,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
CABEZAS,atencion odontologica,periodoncias,2011-01-01,7,35,7,35,42
CAIROMA,atencion odontologica,periodoncias,2011-01-01,12,138,12,138,150
CALAMARCA,atencion odontologica,periodoncias,2011-01-01,1,3,1,3,4
CAMARGO,atencion odontologica,periodoncias,2011-01-01,5,5,5,5,10
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
CAMIRI,atencion odontologica,periodoncias,2011-01-01,33,65,33,65,98
CAQUIAVIRI,atencion odontologica,periodoncias,2011-01-01,0,1,0,1,1
CARACOLLO,atencion odontologica,periodoncias,2011-01-01,4,15,4,15,19
CARANAVI,atencion odontologica,periodoncias,2011-01-01,4,4,4,4,8
CARAPARI,atencion odontologica,periodoncias,2011-01-01,4,8,4,8,12
CARIPUYO,atencion odontologica,periodoncias,2011-01-01,1,86,1,86,87
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2011-01-01,4,16,4,16,20
CATACORA,atencion odontologica,periodoncias,2011-01-01,2,0,2,0,2
CHALLAPATA,atencion odontologica,periodoncias,2011-01-01,4,7,4,7,11
CHARAGUA,atencion odontologica,periodoncias,2011-01-01,3,2,3,2,5
CHARAÑA,atencion odontologica,periodoncias,2011-01-01,1,0,1,0,1
CHAYANTA,atencion odontologica,periodoncias,2011-01-01,1,2,1,2,3
CHIMORE,atencion odontologica,periodoncias,2011-01-01,2,1,2,1,3
CHIPAYA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,periodoncias,2011-01-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2011-01-01,6,16,6,16,22
CHUMA,atencion odontologica,periodoncias,2011-01-01,2,4,2,4,6
CLIZA,atencion odontologica,periodoncias,2011-01-01,38,109,38,109,147
COBIJA,atencion odontologica,periodoncias,2011-01-01,3,30,3,30,33
COCHABAMBA,atencion odontologica,periodoncias,2011-01-01,747,886,747,886,1633
COIPASA,atencion odontologica,periodoncias,2011-01-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,periodoncias,2011-01-01,7,18,7,18,25
"COLCHA ""K""",atencion odontologica,periodoncias,2011-01-01,1,1,1,1,2
