,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,endodoncias,2011-01-01,20,19,20,19,39
ACHOCALLA,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
AIQUILE,atencion odontologica,endodoncias,2011-01-01,11,16,11,16,27
ALCALA,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
ALTO BENI,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
ANDAMARCA,atencion odontologica,endodoncias,2011-01-01,5,3,5,3,8
ANTEQUERA,atencion odontologica,endodoncias,2011-01-01,4,10,4,10,14
ANZALDO,atencion odontologica,endodoncias,2011-01-01,2,0,2,0,2
ARANI,atencion odontologica,endodoncias,2011-01-01,45,37,45,37,82
ARBIETO,atencion odontologica,endodoncias,2011-01-01,2,10,2,10,12
ARQUE,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2011-01-01,4,1,4,1,5
ATOCHA,atencion odontologica,endodoncias,2011-01-01,20,24,20,24,44
AYO AYO,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2011-01-01,5,3,5,3,8
BATALLAS,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,endodoncias,2011-01-01,0,3,0,3,3
BERMEJO,atencion odontologica,endodoncias,2011-01-01,59,70,59,70,129
BETANZOS,atencion odontologica,endodoncias,2011-01-01,6,6,6,6,12
BOLIVAR,atencion odontologica,endodoncias,2011-01-01,1,3,1,3,4
BOYUIBE,atencion odontologica,endodoncias,2011-01-01,2,3,2,3,5
CABEZAS,atencion odontologica,endodoncias,2011-01-01,0,1,0,1,1
CAIROMA,atencion odontologica,endodoncias,2011-01-01,29,138,29,138,167
"CAIZA ""D""",atencion odontologica,endodoncias,2011-01-01,2,2,2,2,4
CAJUATA,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
CALACOTO,atencion odontologica,endodoncias,2011-01-01,1,0,1,0,1
CALAMARCA,atencion odontologica,endodoncias,2011-01-01,11,15,11,15,26
CAMARGO,atencion odontologica,endodoncias,2011-01-01,12,25,12,25,37
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2011-01-01,3,1,3,1,4
CAMIRI,atencion odontologica,endodoncias,2011-01-01,18,46,18,46,64
CAPINOTA,atencion odontologica,endodoncias,2011-01-01,24,33,24,33,57
CARACOLLO,atencion odontologica,endodoncias,2011-01-01,12,12,12,12,24
CARANAVI,atencion odontologica,endodoncias,2011-01-01,2,2,2,2,4
CARAPARI,atencion odontologica,endodoncias,2011-01-01,7,16,7,16,23
CARIPUYO,atencion odontologica,endodoncias,2011-01-01,5,1,5,1,6
CHALLAPATA,atencion odontologica,endodoncias,2011-01-01,6,12,6,12,18
CHAQUI,atencion odontologica,endodoncias,2011-01-01,5,10,5,10,15
CHARAGUA,atencion odontologica,endodoncias,2011-01-01,2,6,2,6,8
CHAYANTA,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
CHIMORE,atencion odontologica,endodoncias,2011-01-01,3,22,3,22,25
CHIPAYA,atencion odontologica,endodoncias,2011-01-01,1,2,1,2,3
CHOQUE COTA,atencion odontologica,endodoncias,2011-01-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2011-01-01,19,24,19,24,43
CHUMA,atencion odontologica,endodoncias,2011-01-01,8,7,8,7,15
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2011-01-01,0,5,0,5,5
CLIZA,atencion odontologica,endodoncias,2011-01-01,17,40,17,40,57
COBIJA,atencion odontologica,endodoncias,2011-01-01,18,34,18,34,52
COCHABAMBA,atencion odontologica,endodoncias,2011-01-01,635,830,635,830,1465
COIPASA,atencion odontologica,endodoncias,2011-01-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,endodoncias,2011-01-01,19,20,19,20,39
