,group,variable,month,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,14,8,14,8,22
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,141,250,141,250,391
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,48,94,48,94,142
AIQUILE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,15,37,15,37,52
ALCALA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,16,59,16,59,75
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,37,40,37,40,77
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,35,31,35,31,66
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,22,60,22,60,82
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,59,90,59,90,149
ANZALDO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,26,27,26,27,53
APOLO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,63,157,63,157,220
ARAMPAMPA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,8,5,8,5,13
ARANI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,10,45,10,45,55
ARBIETO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,47,66,47,66,113
ARQUE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,21,12,21,12,33
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,11,15,11,15,26
ATOCHA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,309,379,309,379,688
AYATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,92,18,92,110
AYO AYO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,34,24,34,24,58
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,9,25,9,25,34
AZURDUY,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,3,8,3,8,11
BATALLAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,58,33,58,91
BAURES,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,0,10,0,10,10
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,2,4,2,4,6
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,19,24,19,24,43
BERMEJO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,187,366,187,366,553
BETANZOS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,24,77,24,77,101
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,24,40,24,40,64
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,26,35,26,35,61
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,4,10,4,10,14
CABEZAS,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,67,134,67,134,201
CAIROMA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,53,174,53,174,227
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,25,30,25,30,55
CAJUATA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,18,35,18,35,53
CALACOTO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,51,41,51,41,92
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,153,155,153,155,308
CAMARGO,atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,134,222,134,222,356
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 59 anos,2011-01-01,33,37,33,37,70
