,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,0,2,0,2,2
ACHACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,41,30,41,30,71
ACHOCALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,6,7,6,7,13
AIQUILE,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,0,1,0,1
ALCALA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,0,1,0,1
ALTO BENI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,2,1,2,3
ANCORAIMES,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,6,8,6,14
ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,10,8,10,8,18
ANTEQUERA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,2,3,2,3,5
ANZALDO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,6,15,6,15,21
APOLO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,0,4,0,4,4
ARAMPAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,0,1,0,1
ARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,1,1,1,2
ARBIETO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,5,14,5,14,19
ARQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,6,4,6,4,10
ATOCHA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,5,8,5,13
AYATA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,3,1,3,4
AYO AYO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,12,4,12,4,16
BATALLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,7,8,7,15
BELEN DE ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,0,1,0,1
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,2,0,2,0,2
BERMEJO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,2,0,2,0,2
BETANZOS,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,2,1,2,3
BOLIVAR,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,5,2,5,2,7
BOYUIBE,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,10,2,10,2,12
BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,1,1,1,1,2
CABEZAS,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,4,2,4,2,6
CAIROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,14,13,14,13,27
"CAIZA ""D""",atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,3,3,3,3,6
CALACOTO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,7,5,7,5,12
CALAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,11,8,11,19
CAMARGO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,18,9,18,9,27
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,3,0,3,0,3
CAMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,3,8,3,11
CAPINOTA,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,6,8,6,14
CAQUIAVIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,8,3,8,3,11
CARACOLLO,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,11,7,11,7,18
CARANAVI,atencion odontologica,consultas nuevas de 60 anos y mas,2011-01-01,15,11,15,11,26
