,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,35,0,35,35
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
AIQUILE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,27,0,27,27
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
ALTO BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,10,0,10,10
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,14,0,14,14
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
ANZALDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,1,0,1,1
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,58,0,58,58
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,73,0,73,73
ARQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,20,0,20,20
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,21,0,21,21
AYATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,9,0,9,9
AYO AYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
AZURDUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
BATALLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,15,0,15,15
BELEN DE URMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,6,0,6,6
BERMEJO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,11,0,11,11
BETANZOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
BOLIVAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,4,0,4,4
BOYUIBE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,2,0,2,2
BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,7,0,7,7
CABEZAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,29,0,29,29
CAIROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
"CAIZA ""D""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,5,0,5,5
CAJUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,3,0,3,3
CALAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,25,0,25,25
CAMARGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,87,0,87,87
CAMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,80,0,80,80
CAPINOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,17,0,17,17
CAQUIAVIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,27,0,27,27
CARACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,18,0,18,18
CARANAVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2011-01-01,0,38,0,38,38
