,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,63,122,63,122,185
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,15,9,15,24
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,21,18,21,18,39
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,2,1,2,3
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,33,42,33,42,75
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,15,10,15,25
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,14,14,14,14,28
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,15,1,15,1,16
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,1,3,1,4
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,11,2,11,13
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,19,33,19,33,52
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,48,77,48,77,125
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,17,30,17,30,47
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,1,0,1,1
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,8,2,8,10
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,16,8,16,24
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,15,0,15,15
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,3,1,3,1,4
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,5,1,5,6
BELEN DE URMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,0,2,0,2
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,48,106,48,106,154
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,10,14,10,14,24
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,1,1,1,1,2
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,2,4,2,4,6
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,26,52,26,52,78
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,8,12,8,20
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,4,2,4,2,6
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,12,10,12,10,22
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,25,19,25,19,44
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,9,8,9,8,17
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,31,65,31,65,96
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,0,4,0,4,4
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,16,12,16,12,28
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,211,246,211,246,457
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,8,5,8,5,13
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,35,39,35,39,74
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,21,28,21,28,49
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2011-01-01,13,20,13,20,33
