,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,cirugia bucal menor,2011-01-01,6,12,6,12,18
ACHACACHI,atencion odontologica,cirugia bucal menor,2011-01-01,114,104,114,104,218
ACHOCALLA,atencion odontologica,cirugia bucal menor,2011-01-01,11,49,11,49,60
AIQUILE,atencion odontologica,cirugia bucal menor,2011-01-01,6,8,6,8,14
ALCALA,atencion odontologica,cirugia bucal menor,2011-01-01,5,14,5,14,19
ALTO BENI,atencion odontologica,cirugia bucal menor,2011-01-01,11,13,11,13,24
ANCORAIMES,atencion odontologica,cirugia bucal menor,2011-01-01,36,35,36,35,71
ANDAMARCA,atencion odontologica,cirugia bucal menor,2011-01-01,20,17,20,17,37
ANTEQUERA,atencion odontologica,cirugia bucal menor,2011-01-01,13,15,13,15,28
ANZALDO,atencion odontologica,cirugia bucal menor,2011-01-01,15,24,15,24,39
APOLO,atencion odontologica,cirugia bucal menor,2011-01-01,12,31,12,31,43
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2011-01-01,1,3,1,3,4
ARANI,atencion odontologica,cirugia bucal menor,2011-01-01,20,32,20,32,52
ARBIETO,atencion odontologica,cirugia bucal menor,2011-01-01,4,7,4,7,11
ARQUE,atencion odontologica,cirugia bucal menor,2011-01-01,1,78,1,78,79
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2011-01-01,15,16,15,16,31
ATOCHA,atencion odontologica,cirugia bucal menor,2011-01-01,41,51,41,51,92
AYATA,atencion odontologica,cirugia bucal menor,2011-01-01,19,48,19,48,67
AYO AYO,atencion odontologica,cirugia bucal menor,2011-01-01,31,29,31,29,60
AZURDUY,atencion odontologica,cirugia bucal menor,2011-01-01,0,5,0,5,5
BATALLAS,atencion odontologica,cirugia bucal menor,2011-01-01,25,63,25,63,88
BAURES,atencion odontologica,cirugia bucal menor,2011-01-01,9,7,9,7,16
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2011-01-01,2,2,2,2,4
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2011-01-01,11,10,11,10,21
BERMEJO,atencion odontologica,cirugia bucal menor,2011-01-01,54,121,54,121,175
BETANZOS,atencion odontologica,cirugia bucal menor,2011-01-01,8,25,8,25,33
BOLIVAR,atencion odontologica,cirugia bucal menor,2011-01-01,18,21,18,21,39
BOYUIBE,atencion odontologica,cirugia bucal menor,2011-01-01,9,21,9,21,30
CABEZAS,atencion odontologica,cirugia bucal menor,2011-01-01,21,45,21,45,66
CAIROMA,atencion odontologica,cirugia bucal menor,2011-01-01,46,52,46,52,98
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2011-01-01,14,16,14,16,30
CAJUATA,atencion odontologica,cirugia bucal menor,2011-01-01,15,33,15,33,48
CALACOTO,atencion odontologica,cirugia bucal menor,2011-01-01,23,15,23,15,38
CALAMARCA,atencion odontologica,cirugia bucal menor,2011-01-01,62,79,62,79,141
CAMARGO,atencion odontologica,cirugia bucal menor,2011-01-01,31,36,31,36,67
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2011-01-01,7,9,7,9,16
CAMIRI,atencion odontologica,cirugia bucal menor,2011-01-01,56,75,56,75,131
CAPINOTA,atencion odontologica,cirugia bucal menor,2011-01-01,1,2,1,2,3
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2011-01-01,23,43,23,43,66
CARACOLLO,atencion odontologica,cirugia bucal menor,2011-01-01,78,105,78,105,183
CARANAVI,atencion odontologica,cirugia bucal menor,2011-01-01,30,50,30,50,80
CARAPARI,atencion odontologica,cirugia bucal menor,2011-01-01,53,84,53,84,137
CARIPUYO,atencion odontologica,cirugia bucal menor,2011-01-01,17,0,17,0,17
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2011-01-01,16,13,16,13,29
CATACORA,atencion odontologica,cirugia bucal menor,2011-01-01,4,22,4,22,26
CHACARILLA,atencion odontologica,cirugia bucal menor,2011-01-01,1,7,1,7,8
