,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,26,29,26,29,55
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,15,7,15,22
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,45,31,45,31,76
ALTO BENI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,20,25,20,25,45
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,11,13,11,13,24
ANDAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,10,10,10,10,20
ARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,500,500,500,500,1000
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,38,49,38,49,87
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,10,11,10,11,21
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,3,1,3,4
BELEN DE URMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,1,0,1,1
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,1,1,1,2
CAIROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,5,16,5,16,21
CALACOTO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,15,11,15,11,26
CALAMARCA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,87,83,87,83,170
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,3,4,3,4,7
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,4,2,4,2,6
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,3,6,3,6,9
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,6,15,6,15,21
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,4,1,4,5
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,15,0,15,15
CHACARILLA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,1,1,1,2
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,7,6,7,6,13
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,30,59,30,59,89
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,5,10,5,10,15
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,124,0,124,0,124
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,3,1,3,4
CKOCHAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,25,0,25,25
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,83,59,83,59,142
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,26,43,26,43,69
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,0,2,0,2,2
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,17,39,17,39,56
COLPA BELGICA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,44,52,44,52,96
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,13,8,13,8,21
CORO CORO,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,19,23,19,23,42
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,1,2,1,2,3
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2011-01-01,3,1,3,1,4
