,group,variable,month,PENTAVALENTE 1RA. DOSIS,PENTAVALENTE 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,3,6,3,9
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,54,15,54,15,69
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,9,10,9,10,19
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,40,10,40,10,50
ALALAY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,2,4,2,6
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,2,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,12,8,12,8,20
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,20,7,20,27
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,1,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,7,5,7,12
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,26,14,26,14,40
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,2,3,2,5
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,14,6,14,6,20
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,9,13,9,13,22
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,1,13,1,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,41,4,41,4,45
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,16,6,16,6,22
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,1,1,1,2
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,12,10,12,22
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,5,15,5,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,21,25,21,25,46
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,17,11,17,11,28
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,30,2,30,2,32
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,1,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,3,1,3,4
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,56,6,56,6,62
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,49,14,49,14,63
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,4,8,4,12
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,0,10,0,10
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,9,18,9,27
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,4,28,4,32
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,6,1,6,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,11,0,11,11
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,15,2,15,2,17
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,3,3,3,6
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,10,10,10,20
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,27,4,27,4,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,7,1,7,1,8
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,63,3,63,3,66
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,29,1,29,1,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,8,1,8,1,9
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,11,28,11,39
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,74,23,74,23,97
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,20,6,20,6,26
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,5,12,5,12,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,3,4,3,7
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,2,2,2,4
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,51,6,51,6,57
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,1,6,1,7
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,42,29,42,29,71
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1,2,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,19,12,19,12,31
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,26,6,26,6,32
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,1,4,1,5
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,28,11,28,11,39
CHUMA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,11,8,11,8,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,4,6,4,10
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,10,20,10,20,30
CLIZA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,24,5,24,5,29
COBIJA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,104,0,104,0,104
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,9,38,9,38,47
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,1293,4,1293,4,1297
COIPASA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,3,0,3,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,104,2,104,2,106
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,2,13,2,15
COLLANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,0,4,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,50,5,50,5,55
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,9,4,9,4,13
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,23,54,23,54,77
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,0,18,0,18
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,18,27,18,27,45
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,4,1,4,1,5
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,19,2,19,2,21
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,22,8,22,8,30
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,13,5,13,5,18
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,27,7,27,7,34
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,2,10,2,10,12
COROICO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,27,7,27,7,34
CORQUE,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,6,6,6,12
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,26,7,26,7,33
COTOCA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,101,9,101,9,110
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,16,19,16,19,35
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,3,1,3,1,4
CUEVO,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,6,2,6,2,8
CULPINA,vacunaciones en menores de 1 ano,pentavalente 1ra. dosis,2010-01-01,17,5,17,5,22
