,group,variable,month,NEUMOCÓCICA 2DA. DOSIS,NEUMOCÓCICA 2DA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
TOMAVE,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-02-01,0.0,1.0,0.0,1.0,1.0
VITICHI,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-02-01,1.0,0.0,1.0,0.0,1.0
ATOCHA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-03-01,2.0,0.0,2.0,0.0,2.0
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-03-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-03-01,0.0,0.0,0.0,0.0,0.0
PUNA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-05-01,0.0,2.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-06-01,0.0,0.0,0.0,0.0,0.0
YUNCHARA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-06-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-07-01,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-08-01,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-09-01,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-10-01,0.0,0.0,0.0,0.0,0.0
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-11-01,1.0,2.0,1.0,2.0,3.0
CABEZAS,vacunaciones en menores de 1 ano,neumococica 2da. dosis,2010-12-01,9.0,0.0,9.0,0.0,9.0
