,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,3,4,3,7
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,50,17,50,17,67
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,8,7,8,15
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,39,5,39,5,44
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,1,4,1,5
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,2,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,8,12,8,20
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,20,7,20,27
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,1,0,1,1
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,1,4,1,5
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,8,5,8,13
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,28,7,28,7,35
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,2,3,2,5
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,14,6,14,6,20
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,9,13,9,13,22
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,13,0,13,0,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,41,1,41,1,42
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,3,7,3,10
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,1,1,1,2
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,10,12,10,12,22
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,3,15,3,18
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,19,25,19,25,44
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,16,9,16,9,25
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,25,2,25,2,27
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,0,3,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,2,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,3,1,3,4
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,56,6,56,6,62
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,50,14,50,14,64
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,4,8,4,12
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,10,0,10,0,10
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,9,15,9,24
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,22,2,22,2,24
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,6,1,6,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,11,1,11,12
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,15,0,15,0,15
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,1,3,1,4
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,3,3,3,3,6
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,28,3,28,3,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,1,6,1,7
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,64,3,64,3,67
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,31,1,31,1,32
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,1,8,1,9
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,28,11,28,11,39
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,74,16,74,16,90
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,19,7,19,7,26
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,5,12,5,12,17
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,3,4,3,7
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,2,1,2,3
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,54,6,54,6,60
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,11,1,11,1,12
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,32,24,32,24,56
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,2,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,12,7,12,7,19
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,30,4,30,4,34
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,1,2,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,27,10,27,10,37
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,10,11,10,11,21
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,5,6,5,11
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,7,16,7,16,23
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,20,2,20,2,22
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,105,0,105,0,105
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,40,8,40,48
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1270,0,1270,0,1270
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,3,0,3,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,104,1,104,1,105
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,2,8,2,10
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,0,4,0,4
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,39,4,39,4,43
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,8,0,8,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,21,50,21,50,71
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,18,0,18,0,18
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,14,23,14,23,37
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,4,1,4,1,5
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,2,17,2,19
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,0,4,0,4,4
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,25,4,25,4,29
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,9,1,9,1,10
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,23,5,23,5,28
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,1,10,1,10,11
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,27,9,27,9,36
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,6,6,6,6,12
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,24,6,24,6,30
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,94,6,94,6,100
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,17,11,17,11,28
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-01-01,2,0,2,0,2
