,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,1,3,1,4
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,46,23,46,23,69
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,14,8,14,8,22
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,38,1,38,1,39
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,4,3,4,7
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,11,9,11,9,20
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,14,7,14,21
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,5,4,5,9
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,2,7,2,9
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,10,12,10,22
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,30,11,30,11,41
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,8,9,8,17
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,9,8,9,17
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,19,0,19,0,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,42,2,42,2,44
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,16,5,16,5,21
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,1,0,1,1
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,4,4,4,8
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,7,6,7,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,32,16,32,16,48
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,19,8,19,27
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,26,0,26,0,26
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,0,5,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,46,8,46,8,54
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,27,12,27,12,39
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,1,5,1,6
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,2,6,2,8
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,9,9,9,18
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,33,3,33,3,36
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,5,2,5,7
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,11,2,11,13
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,2,7,2,9
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,3,2,3,5
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,11,6,11,6,17
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,18,6,18,6,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,3,3,3,6
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,52,2,52,2,54
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,35,4,35,4,39
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,4,9,4,13
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,34,11,34,11,45
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,81,26,81,26,107
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,2,13,2,15
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,9,3,9,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,4,3,4,7
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,35,7,35,7,42
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,35,28,35,28,63
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,3,1,3,4
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,7,15,7,22
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,28,10,28,10,38
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,4,1,4,1,5
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,25,18,25,18,43
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,6,6,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,2,12,2,14
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,16,5,16,21
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,35,7,35,7,42
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,84,4,84,4,88
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,5,25,5,25,30
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1254,4,1254,4,1258
COIPASA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,103,0,103,0,103
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,9,5,9,5,14
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,0,7,0,7
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,46,4,46,4,50
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,8,3,8,3,11
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,14,49,14,49,63
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,0,12,0,12
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,30,12,30,42
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,23,2,23,2,25
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,21,8,21,8,29
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,15,4,15,4,19
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,22,6,22,6,28
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,7,1,7,8
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,26,8,26,8,34
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,7,8,7,8,15
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,11,13,11,24
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,77,9,77,9,86
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,13,12,13,12,25
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,3,1,3,1,4
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,21,9,21,9,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,12,0,12,0,12
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,0,1,0,1,1
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-01-01,1,0,1,0,1
