,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,1,4,1,5
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,44,25,44,25,69
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,14,2,14,2,16
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,38,2,38,2,40
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,4,3,4,7
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,9,11,9,20
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,9,5,9,14
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,5,4,5,9
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,1,6,1,7
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,12,10,12,10,22
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,29,9,29,9,38
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,1,4,1,5
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,5,9,5,14
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,10,8,10,18
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,16,0,16,0,16
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,36,1,36,1,37
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,4,7,4,11
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,1,0,1,1
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,4,2,4,6
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,3,6,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,30,15,30,15,45
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,17,6,17,23
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,27,1,27,1,28
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,8,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,0,1,0,1
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,47,8,47,8,55
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,22,8,22,8,30
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,1,4,1,5
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,1,2,1,3
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,1,5,1,6
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,10,10,10,20
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,35,1,35,1,36
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,6,2,6,8
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,12,2,12,14
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,10,0,10,0,10
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,2,2,2,4
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,2,6,2,8
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,18,7,18,7,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,3,3,3,6
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,46,1,46,1,47
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,36,2,36,2,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,4,9,4,13
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,33,11,33,11,44
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,85,29,85,29,114
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,13,0,13,0,13
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,9,3,9,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,3,4,3,4,7
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,26,8,26,8,34
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,6,1,6,1,7
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,24,16,24,16,40
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,3,1,3,4
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,2,5,2,7
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,26,5,26,5,31
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,1,2,1,3
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,22,17,22,17,39
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,7,5,7,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,9,1,9,10
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,27,5,27,5,32
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,89,4,89,4,93
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,5,19,5,19,24
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1156,6,1156,6,1162
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,2,0,2,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,104,0,104,0,104
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,5,7,5,12
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,0,7,0,7
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,33,3,33,3,36
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,47,11,47,58
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,12,0,12,0,12
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,9,23,9,23,32
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,2,0,2,0,2
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,22,2,22,2,24
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,18,6,18,6,24
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,11,2,11,2,13
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,19,2,19,2,21
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,8,1,8,9
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,24,8,24,8,32
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,7,9,7,9,16
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,12,11,12,11,23
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,57,0,57,0,57
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,12,6,12,6,18
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,4,0,4,0,4
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-01-01,1,1,1,1,2
