,group,variable,month,BCG,BCG,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2010-01-01,47,17,47,17,64
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,20,6,20,26
AIQUILE,vacunaciones en menores de 1 ano,bcg,2010-01-01,48,0,48,0,48
ALALAY,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,6,2,6,8
ALCALA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,0,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,11,14,11,25
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,18,1,18,19
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,2,1,2,3
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,0,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,9,5,9,14
APOLO,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,8,15,8,23
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,1,4,1,5
ARANI,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,5,9,5,14
ARBIETO,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,12,15,12,27
ARQUE,vacunaciones en menores de 1 ano,bcg,2010-01-01,12,2,12,2,14
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2010-01-01,55,0,55,0,55
ATOCHA,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,1,13,1,14
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,1,0,1,1
AYATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,15,2,15,17
AYO AYO,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,6,5,6,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2010-01-01,16,17,16,17,33
AZURDUY,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,10,14,10,24
BATALLAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,19,4,19,4,23
BAURES,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,bcg,2010-01-01,63,1,63,1,64
BETANZOS,vacunaciones en menores de 1 ano,bcg,2010-01-01,34,15,34,15,49
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,13,8,13,21
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,4,1,4,5
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,7,6,7,13
CABEZAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,20,11,20,11,31
CAIROMA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,6,4,6,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2010-01-01,4,2,4,2,6
CAJUATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,4,8,4,12
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,13,9,13,22
CAMARGO,vacunaciones en menores de 1 ano,bcg,2010-01-01,34,2,34,2,36
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,bcg,2010-01-01,1,2,1,2,3
CAMIRI,vacunaciones en menores de 1 ano,bcg,2010-01-01,56,10,56,10,66
CAPINOTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,26,1,26,1,27
CAQUIAVIRI,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,2,6,2,8
CARACOLLO,vacunaciones en menores de 1 ano,bcg,2010-01-01,20,8,20,8,28
CARANAVI,vacunaciones en menores de 1 ano,bcg,2010-01-01,115,28,115,28,143
CARAPARI,vacunaciones en menores de 1 ano,bcg,2010-01-01,15,3,15,3,18
CARIPUYO,vacunaciones en menores de 1 ano,bcg,2010-01-01,12,20,12,20,32
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,0,5,0,5
CHACARILLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,4,0,4,4
CHALLAPATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,42,16,42,16,58
CHAQUI,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,1,2,1,3
CHARAGUA,vacunaciones en menores de 1 ano,bcg,2010-01-01,28,46,28,46,74
CHARAÑA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,2,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,bcg,2010-01-01,19,11,19,11,30
CHIMORE,vacunaciones en menores de 1 ano,bcg,2010-01-01,32,6,32,6,38
CHIPAYA,vacunaciones en menores de 1 ano,bcg,2010-01-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,bcg,2010-01-01,26,6,26,6,32
CHUMA,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,10,9,10,19
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
CKOCHAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,5,22,5,22,27
CLIZA,vacunaciones en menores de 1 ano,bcg,2010-01-01,26,6,26,6,32
COBIJA,vacunaciones en menores de 1 ano,bcg,2010-01-01,137,0,137,0,137
COCAPATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,24,13,24,37
COCHABAMBA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1424,8,1424,8,1432
COIPASA,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,bcg,2010-01-01,74,0,74,0,74
"COLCHA ""K""",vacunaciones en menores de 1 ano,bcg,2010-01-01,5,1,5,1,6
COLLANA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
COLOMI,vacunaciones en menores de 1 ano,bcg,2010-01-01,25,2,25,2,27
COLPA BELGICA,vacunaciones en menores de 1 ano,bcg,2010-01-01,6,3,6,3,9
COLQUECHACA,vacunaciones en menores de 1 ano,bcg,2010-01-01,11,48,11,48,59
COLQUENCHA,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,7,9,7,16
COLQUIRI,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,34,14,34,48
COMANCHE,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,4,0,4,4
COMARAPA,vacunaciones en menores de 1 ano,bcg,2010-01-01,26,5,26,5,31
CONCEPCION,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,0,16,0,16
COPACABANA,vacunaciones en menores de 1 ano,bcg,2010-01-01,16,10,16,10,26
CORIPATA,vacunaciones en menores de 1 ano,bcg,2010-01-01,20,8,20,8,28
CORO CORO,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,3,0,3,3
COROICO,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,6,9,6,15
CORQUE,vacunaciones en menores de 1 ano,bcg,2010-01-01,8,2,8,2,10
COTAGAITA,vacunaciones en menores de 1 ano,bcg,2010-01-01,18,5,18,5,23
COTOCA,vacunaciones en menores de 1 ano,bcg,2010-01-01,79,0,79,0,79
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,16,14,16,30
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,bcg,2010-01-01,1,4,1,4,5
CUEVO,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,7,1,7,8
CULPINA,vacunaciones en menores de 1 ano,bcg,2010-01-01,23,9,23,9,32
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,5,9,5,14
CURVA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,3,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,2,1,2,3
EL ALTO,vacunaciones en menores de 1 ano,bcg,2010-01-01,1568,0,1568,0,1568
EL CHORO,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,4,2,4,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,bcg,2010-01-01,5,7,5,7,12
EL PUENTE(TJA),vacunaciones en menores de 1 ano,bcg,2010-01-01,11,10,11,10,21
EL TORNO,vacunaciones en menores de 1 ano,bcg,2010-01-01,78,5,78,5,83
EL VILLAR,vacunaciones en menores de 1 ano,bcg,2010-01-01,2,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,8,14,8,22
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,bcg,2010-01-01,38,11,38,11,49
ESCOMA,vacunaciones en menores de 1 ano,bcg,2010-01-01,10,0,10,0,10
ESMERALDA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,bcg,2010-01-01,11,0,11,0,11
EXALTACION,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,0,3,0,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,bcg,2010-01-01,14,2,14,2,16
FILADELFIA,vacunaciones en menores de 1 ano,bcg,2010-01-01,3,1,3,1,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,bcg,2010-01-01,11,11,11,11,22
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,bcg,2010-01-01,5,9,5,9,14
GUANAY,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,2,9,2,11
GUAQUI,vacunaciones en menores de 1 ano,bcg,2010-01-01,1,8,1,8,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,bcg,2010-01-01,112,4,112,4,116
GUTIERREZ,vacunaciones en menores de 1 ano,bcg,2010-01-01,9,20,9,20,29
HUACARETA,vacunaciones en menores de 1 ano,bcg,2010-01-01,13,1,13,1,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,bcg,2010-01-01,1,6,1,6,7
HUACHACALLA,vacunaciones en menores de 1 ano,bcg,2010-01-01,0,3,0,3,3
