,group,variable,month,NEUMOCÓCICA 1RA. DOSIS,NEUMOCÓCICA 1RA. DOSIS,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-01-01,38,0,38,0,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-02-01,4,0,4,0,4
CHAYANTA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-03-01,0,2,0,2,2
SAN CARLOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-03-01,0,0,0,0,0
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-04-01,0,2,0,2,2
COTAGAITA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-04-01,0,3,0,3,3
PUNA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-06-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-07-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-08-01,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-09-01,0,0,0,0,0
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-09-01,1,0,1,0,1
VITICHI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-09-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-10-01,0,0,0,0,0
SAN MATIAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-11-01,3,0,3,0,3
CABEZAS,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-12-01,9,0,9,0,9
TUPIZA,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-12-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-12-01,8,0,8,0,8
YAPACANI,vacunaciones en menores de 1 ano,neumococica 1ra. dosis,2010-12-01,4,0,4,0,4
