municipality,group,variable,month,Nº. De actividades educativas en Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,27,27
AIQUILE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,12,12
ALCALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,19,19
ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,28,28
ANTEQUERA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,2,2
ANZALDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,19,19
APOLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,12,12
ARAMPAMPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,14,14
ARBIETO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,23,23
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,7,7
AYO AYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,13,13
AZURDUY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,21,21
BERMEJO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,25,25
BETANZOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,18,18
BOLIVAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,21,21
BUENA VISTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,5,5
CABEZAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,14,14
CAJUATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
CAMARGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,22,22
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,11,11
CAMIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,20,20
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
CARACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,11,11
CARANAVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,17,17
CARAPARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
CATACORA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
CHAQUI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,10,10
CHARAGUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
CHIMORE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,6,6
CHIPAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
CKOCHAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,5,5
CLIZA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,11,11
COCHABAMBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,255,255
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,10,10
COLOMI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,11,11
COLQUECHACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,28,28
COMARAPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
CORO CORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,13,13
CORQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,15,15
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,3,3
CUEVO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,7,7
CULPINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,18,18
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,7,7
DESAGUADERO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,636,636
EL CHORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,4,4
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,7,7
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,10,10
EL TORNO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,35,35
EL VILLAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,15,15
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,20,20
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,3,3
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,8,8
FILADELFIA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2013-01-01,12,12
