municipality,group,variable,month,Nº de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,10,10
AIQUILE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
APOLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
ARANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
ARQUE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
AUCAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,7,7
BETANZOS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
BOLIVAR,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
BOYUIBE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
CABEZAS,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,2,2
CHUA COCANI,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de cai de establecimiento,2013-01-01,4,4
