,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,30,0,30,30
ACHOCALLA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,50,1,50,51
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,70,87,70,87,157
ALCALA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,0,10,0,10
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,3,1,3,4
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,100,10,100,110
APOLO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,5,0,5,0,5
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,10,0,10,10
AYO AYO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,70,0,70,70
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,8,10,8,18
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,70,0,70,70
BELEN DE URMIRI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,1,0,1,1
BERMEJO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,93,0,93,93
BETANZOS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,20,0,20,20
BUENA VISTA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,73,0,73,73
CALACOTO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,95,0,95,95
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,80,0,80,80
CAMIRI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,374,0,374,374
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,11,0,11,11
CAQUIAVIRI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,6,10,6,10,16
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,8,1,8,9
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,14,405,14,405,419
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,1,0,1,0,1
CARIPUYO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,50,0,50,50
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,43,0,43,43
CHACARILLA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,28,0,28,28
CHARAÑA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,12,0,12,12
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,18,0,18,0,18
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,99,10,99,109
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3,148,3,148,151
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,584,0,584,0,584
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,1657,0,1657,1657
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2010-01-01,5,6,5,6,11
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,28,76,28,76,104
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,5,0,5,5
COMANCHE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,14,0,14,14
COMARAPA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,124,0,124,124
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,337,0,337,0,337
COPACABANA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,72,0,72,72
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,4,56,4,56,60
CORO CORO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,50,0,50,50
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,11,13,11,13,24
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,250,0,250,250
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3226,1388,3226,1388,4614
EL PUENTE(STC),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,35,28,35,28,63
EL PUENTE(TJA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,50,0,50,50
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,160,0,160,160
EL VILLAR,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,200,71,200,71,271
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,50,0,50,50
ESCOMA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,116,10,116,126
EUREKA (SANTOS MERCADO),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3,0,3,0,3
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,180,22,180,22,202
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,13,46,13,46,59
GUANAY,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,209,0,209,209
GUAQUI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,10,0,10,10
HUACHACALLA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,3,0,3,0,3
HUAYLLAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,15,0,15,15
HUMANATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,802,0,802,802
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,63,0,63,63
ICLA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,172,0,172,172
INQUISIVI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,23,374,23,374,397
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,6,0,6,6
JESUS DE MACHACA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,90,0,90,90
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,13,91,13,91,104
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,52,944,52,944,996
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,159,448,159,448,607
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,142,0,142,142
LAJA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,16,544,16,544,560
LURIBAY,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,47,0,47,47
MACHACAMARCA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,187,0,187,187
MAIRANA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,31,0,31,31
MECAPACA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,218,0,218,218
MINEROS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,89,0,89,89
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,50,57,50,57,107
MOCOMOCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,25,175,25,175,200
MOJOCOYA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,123,0,123,123
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,145,287,145,287,432
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,72,0,72,72
OCURI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,15,0,15,15
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,15,63,15,63,78
ORURO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,255,0,255,255
PADILLA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,7,44,7,44,51
PAILON,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,50,0,50,50
PALOS BLANCOS,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,74,25,74,25,99
PAPEL PAMPA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,578,0,578,578
PASORAPA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,4,0,4,0,4
PATACAMAYA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,8,0,8,0,8
PELECHUCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,194,0,194,194
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2010-01-01,75,0,75,0,75
POSTRER VALLE,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,253,223,253,223,476
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,6,0,6,0,6
PUERTO ACOSTA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,32,623,32,623,655
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,607,0,607,607
PUERTO QUIJARRO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,25,0,25,0,25
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,35,0,35,35
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,22,10,22,32
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,254,373,254,373,627
QUIME,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,50,47,50,47,97
RAVELO,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,10,0,10,10
SACABA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,84,3110,84,3110,3194
SACABAMBA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,10,0,10,0,10
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,6,17,6,17,23
SAMAIPATA,otras vacunaciones,antirrabica en perros y gatos,2010-01-01,0,130,0,130,130
