,group,variable,month,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,57,11,57,11,68
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,14,1,14,15
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,16,10,16,10,26
ALALAY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,2,4,2,6
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,1,3,1,4
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,1,1,1,2
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,12,8,12,20
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,14,0,14,14
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,29,1,29,1,30
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,2,5,2,7
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,13,11,13,11,24
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,7,4,7,11
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,3,3,3,6
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,0,4,0,4
BELEN DE ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,1,4,1,5
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,46,4,46,4,50
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,4,11,4,15
BOYUIBE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,20,8,20,8,28
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,24,7,24,7,31
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,2,2,2,4
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,1,2,1,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,3,0,3,3
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,22,12,22,12,34
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,22,4,22,4,26
CAQUIAVIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,4,4,4,8
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,17,33,17,33,50
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,6,1,6,7
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,12,1,12,1,13
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,5,2,5,7
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,1,4,1,5
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,22,4,22,4,26
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,3,0,3,3
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,8,1,8,1,9
CHARAÑA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,1,3,1,4
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,18,9,18,9,27
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,3,5,3,8
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,6,0,6,6
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,24,8,24,8,32
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,61,5,61,5,66
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,5,3,5,8
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,580,0,580,0,580
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,47,4,47,4,51
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,0,3,0,3
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,20,16,20,16,36
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,0,11,0,11
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,31,0,31,31
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,9,2,9,11
COMANCHE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,1,1,1,2
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,13,6,13,6,19
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,13,2,13,2,15
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,3,11,3,14
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,10,10,10,10,20
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,1,0,1,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,5,4,5,4,9
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,48,4,48,4,52
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,26,0,26,0,26
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,1,2,1,3
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,4,2,4,2,6
CURVA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,837,147,837,147,984
EL CHORO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,0,2,0,2,2
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,11,3,11,3,14
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,102,9,102,9,111
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,27,16,27,16,43
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 2da dosis de dt,2010-01-01,3,2,3,2,5
