,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,4,0,4,0,4
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,5,0,5,0,5
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,6,0,6,0,6
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
COROICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,9,0,9,0,9
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,6,0,6,0,6
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,12,0,12,0,12
EL VILLAR,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,2,2,2,4
EUCALIPTUS,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
GUANAY,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,12,0,12,0,12
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
MOJOCOYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,4,0,4,0,4
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,3,0,3,0,3
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
QUIME,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
REYES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,3,0,3,0,3
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,27,1,27,1,28
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,4,0,4,0,4
TEOPONTE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
VILLAZON,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
WARNES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,3,0,3,0,3
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,15,23,15,23,38
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,4,0,4,0,4
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
COROICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,41,0,41,0,41
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,6,13,6,13,19
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,3,0,3,0,3
ICLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,70,0,70,0,70
OKINAWA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,2,0,2,0,2
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,3,0,3,0,3
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,1,0,1,0,1
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,11,0,11,0,11
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,4,0,4,0,4
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,0,5,0,5,5
TARATA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,31,0,31,0,31
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,39,0,39,0,39
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,13,0,13,0,13
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-02-01,2,0,2,0,2
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
ARQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,13,25,13,25,38
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,2,0,2,0,2
COROICO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,14,0,14,0,14
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,5,0,5,0,5
ENTRE RIOS CBBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,0,1,0,1,1
FILADELFIA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,30,1,30,31
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
INQUISIVI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,2,0,2,0,2
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,91,0,91,0,91
MAPIRI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
OKINAWA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,4,0,4,0,4
OMEREQUE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,6,0,6,0,6
ORURO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,3,0,3,0,3
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,5,0,5,0,5
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,16,0,16,0,16
SAIPINA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,8,0,8,0,8
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,11,0,11,0,11
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,4,0,4,0,4
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,1,0,1,0,1
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,3,0,3,0,3
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,33,0,33,0,33
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,9,0,9,0,9
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-03-01,11,0,11,0,11
BAURES,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 1ra dosis,2010-04-01,3,0,3,0,3
