,group,variable,month,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACACIO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,5,0,5,5
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,3,1,3,4
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,1,1,1,2
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,0,3,0,3
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,5,17,5,17,22
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,2,1,2,3
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,3,3,3,6
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,1,3,1,4
BOYUIBE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,0,3,0,3
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,0,3,0,3
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,4,3,4,3,7
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,4,8,4,8,12
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,1,1,1,2
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,0,3,0,3
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,1,1,1,2
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,3,3,3,6
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,2,1,2,3
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,3,1,3,4
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,8,0,8,8
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,10,7,10,7,17
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,6,0,6,0,6
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,4,1,4,5
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,164,0,164,0,164
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,10,8,10,8,18
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,14,2,14,2,16
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,1,0,1,1
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,5,7,5,7,12
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,5,5,5,5,10
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,0,3,0,3
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,1,0,1,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,4,2,4,6
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,20,4,20,4,24
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,0,2,0,2
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,1,0,1,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,213,56,213,56,269
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,1,2,1,3
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,18,4,18,4,22
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,5,1,5,6
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,2,3,2,5
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,4,3,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,1,3,1,4
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,5,1,5,6
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,1,1,1,2
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,12,0,12,0,12
GUTIERREZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,6,0,6,0,6
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,0,2,0,2
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,5,0,5,5
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,25,3,25,3,28
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,265,85,265,85,350
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
LAJA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,5,0,5,0,5
LAS CARRERAS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,4,3,4,7
MACHACAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,2,0,2,0,2
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,6,0,6,0,6
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,3,3,3,3,6
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,4,3,4,3,7
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,25,3,25,3,28
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,2,0,2,2
OCURI,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,0,1,0,1,1
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,6,0,6,0,6
OMEREQUE,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,25,0,25,0,25
PADCAYA,otras vacunaciones,mujeres de 10 a 49 anos 4ta dosis de dt,2010-01-01,1,0,1,0,1
