,group,variable,month,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,2,1,2,3
ARBIETO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,3,0,3,0,3
CHALLAPATA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,40,0,40,0,40
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,6,0,6,0,6
COTOCA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,0,2,0,2,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,16,0,16,0,16
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,10,0,10,0,10
GUANAY,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,4,0,4,0,4
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,4,0,4,0,4
MOJOCOYA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,2,0,2,0,2
MOROCHATA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
ORURO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
PAILON,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,6,0,6,0,6
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,2,0,2,0,2
PUERTO VILLARROEL,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,4,0,4,0,4
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,29,0,29,0,29
SACABA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,7,0,7,0,7
SAN ANTONIO DE LOMERIO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,100,0,100,0,100
SIPE SIPE,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,24,0,24,0,24
TARVITA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
VINTO,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,8,0,8,0,8
WARNES,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,11,0,11,0,11
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2010-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,3,0,3,0,3
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
CAMIRI,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,2,1,2,3
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
CARANAVI,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,3,0,3,0,3
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,0,2,0,2,2
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,39,0,39,0,39
COLCAPIRHUA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,3,0,3,0,3
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,7,0,7,0,7
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,12,0,12,0,12
JESUS DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,3,0,3,0,3
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,60,0,60,0,60
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,5,0,5,0,5
PAILON,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,4,0,4,0,4
PAZÑA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
POROMA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,0,5,0,5,5
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,11,0,11,0,11
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,4,0,4,0,4
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
PUNATA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,16,0,16,0,16
SACABA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,100,0,100,0,100
SUCRE,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,26,0,26,0,26
TARATA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
TIAWANACU,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
TIQUIPAYA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
TOLEDO,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,4,0,4,0,4
YACUIBA,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,2,0,2,0,2
YAPACANI,otras vacunaciones,antirrabica humana esquema completo,2010-02-01,1,0,1,0,1
AIQUILE,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
CAPINOTA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
CARAPARI,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,5,0,5,0,5
CLIZA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,2,0,2,0,2
COBIJA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,0,6,0,6,6
COCHABAMBA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,87,0,87,0,87
CUATRO CAÑADAS,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,2,0,2,0,2
EL ALTO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,45,0,45,0,45
EL TORNO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,20,0,20,0,20
ENTRE RIOS CBBA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
JESUS DE MACHACA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,6,0,6,0,6
LA PAZ,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,65,0,65,0,65
LLALLAGUA,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,0,1,0,1,1
MONTERO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,6,0,6,0,6
PALOS BLANCOS,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,0,2,0,2,2
PORONGO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
POTOSI,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,6,0,6,0,6
PUERTO QUIJARRO,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,2,0,2,0,2
PUERTO SUAREZ,otras vacunaciones,antirrabica humana esquema completo,2010-03-01,1,0,1,0,1
