,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,2,0,2,0,2
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,1,0,1,0,1
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,4,0,4,0,4
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,4,0,4,0,4
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,18,0,18,0,18
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,4,0,4,0,4
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,9,2,9,2,11
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,19,0,19,0,19
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,2,0,2,0,2
QUIME,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,3,0,3,0,3
REYES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,2,0,2,0,2
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,1,0,1,0,1
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,6,0,6,0,6
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,18,2,18,2,20
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,2,0,2,0,2
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-01-01,1,0,1,0,1
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,4,0,4,0,4
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,5,0,5,0,5
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,3,0,3,0,3
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,6,0,6,0,6
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
GUANAY,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,0,2,0,2,2
ICLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,18,0,18,0,18
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
MINEROS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
REYES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,3,0,3,0,3
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,25,0,25,0,25
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,8,0,8,0,8
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
VILLA NUEVA (LOMA ALTA),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,2,0,2,0,2
VILLAZON,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,4,0,4,0,4
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,7,0,7,0,7
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-02-01,1,0,1,0,1
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,2,0,2,0,2
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,2,0,2,0,2
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,31,0,31,0,31
COROICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,43,0,43,0,43
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,5,0,5,0,5
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,3,0,3,0,3
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,6,4,6,4,10
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,29,0,29,0,29
MAPIRI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,1,0,1,0,1
MINEROS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,2,0,2,0,2
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,3,0,3,0,3
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,3,0,3,0,3
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,5,0,5,0,5
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,1,0,1,0,1
TARATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,19,0,19,0,19
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,31,0,31,0,31
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,3,0,3,0,3
WARNES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,2,0,2,0,2
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-03-01,2,0,2,0,2
AIQUILE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,6,0,6,0,6
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,3,0,3,0,3
BAURES,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,5,0,5,0,5
CAPINOTA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,5,0,5,0,5
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,2,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,26,24,26,24,50
HUACARETA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,70,0,70,0,70
ORURO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,2,0,2,0,2
PUERTO RICO,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,6,0,6,0,6
SACABA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,5,0,5,0,5
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,2,0,2,0,2
SANTA ROSA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,2,0,2,0,2
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,17,0,17,0,17
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,1,0,1,0,1
TARATA,otras vacunaciones,trabajador de salud hepatitis b 2da dosis,2010-04-01,5,0,5,0,5
