,group,variable,month,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,3,0,3,3
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,13,5,13,18
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,2,0,2,2
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,5,0,5,5
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,4,0,4,4
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,5,2,5,7
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,5,0,5,5
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,2,1,2,3
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,11,0,11,11
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,3,0,3,3
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,95,0,95,0,95
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,6,0,6,0,6
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,12,0,12,0,12
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,1,5,1,6
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,4,1,4,1,5
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,4,4,4,4,8
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,6,2,6,2,8
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,0,5,0,5
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,126,38,126,38,164
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,15,1,15,1,16
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,3,3,3,6
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,3,0,3,3
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,0,3,0,3
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,8,0,8,0,8
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
HUANUNI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
INQUISIVI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
JESUS DE MACHACA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
LA GUARDIA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,10,5,10,5,15
LA PAZ,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,147,42,147,42,189
LAGUNILLAS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,2,1,2,3
LLALLAGUA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,8,2,8,10
LORETO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
MAIRANA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,8,0,8,0,8
MINEROS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,1,2,1,3
MIZQUE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,2,0,2,2
MONTEAGUDO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,2,2,2,4
MONTERO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,18,3,18,3,21
MORO MORO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
OKINAWA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,1,1,1,2
ORURO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,13,0,13,0,13
PADILLA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
PAILON,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
PALOS BLANCOS,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
PAMPA GRANDE,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,1,0,1,0,1
PATACAMAYA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,6,0,6,0,6
PAZÑA,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
PELECHUCO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,0,1,0,1,1
PORONGO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,3,1,3,1,4
POTOSI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,5,0,5,0,5
PUCARANI,otras vacunaciones,mujeres de 10 a 49 anos 5ta dosis de dt,2010-01-01,2,0,2,0,2
