,group,variable,month,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,7,0,7,0,7
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,4,5,4,9
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,2,2,2,4
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,2,0,2,2
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,3,1,3,4
ANTEQUERA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,1,1,1,2
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,5,1,5,6
APOLO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,0,3,0,3
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,22,2,22,24
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,0,3,0,3
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,0,5,0,5
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,9,4,9,4,13
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,7,5,7,12
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,5,1,5,6
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,0,3,0,3
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,10,0,10,0,10
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,0,5,0,5
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
BOYUIBE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,8,3,8,3,11
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,6,3,6,3,9
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,8,5,8,13
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,7,0,7,0,7
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,13,11,13,11,24
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,7,6,7,6,13
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,8,3,8,3,11
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,0,5,0,5
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,3,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,1,3,1,4
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,4,5,4,9
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,5,1,5,1,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,4,3,4,7
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,3,0,3,3
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,17,8,17,8,25
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,12,2,12,2,14
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,4,7,4,7,11
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,378,0,378,0,378
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,44,6,44,6,50
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,11,9,11,9,20
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,3,2,3,5
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,3,0,3,3
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,5,2,5,7
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,10,8,10,8,18
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,6,5,6,5,11
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,12,1,12,1,13
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,3,1,3,1,4
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,41,8,41,8,49
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,11,0,11,0,11
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,3,0,3,3
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,4,1,4,1,5
CURVA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,459,119,459,119,578
EL CHORO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,1,1,1,2
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,9,6,9,6,15
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,58,6,58,6,64
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,9,0,9,9
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,0,2,0,2
ENTRE RIOS CBBA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,9,13,9,13,22
EUCALIPTUS,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,2,2,2,4
EXALTACION,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,7,1,7,1,8
FILADELFIA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,6,0,6,0,6
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,1,4,1,4,5
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,4,2,4,2,6
GUANAY,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,6,1,6,1,7
GUAQUI,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,18,0,18,0,18
HUACARETA,otras vacunaciones,mujeres de 10 a 49 anos 3ra dosis de dt,2010-01-01,2,2,2,2,4
