,group,variable,month,ANTIRRÁBICA EN HUMANO CANTIDAD,ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en humano,2010-01-01,2,0,2,0,2
BERMEJO,otras vacunaciones,antirrabica en humano,2010-01-01,13,0,13,0,13
CAPINOTA,otras vacunaciones,antirrabica en humano,2010-01-01,9,0,9,0,9
CARANAVI,otras vacunaciones,antirrabica en humano,2010-01-01,12,0,12,0,12
COCHABAMBA,otras vacunaciones,antirrabica en humano,2010-01-01,11,0,11,0,11
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2010-01-01,14,0,14,0,14
COTOCA,otras vacunaciones,antirrabica en humano,2010-01-01,5,17,5,17,22
EL ALTO,otras vacunaciones,antirrabica en humano,2010-01-01,202,0,202,0,202
EL TORNO,otras vacunaciones,antirrabica en humano,2010-01-01,107,0,107,0,107
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en humano,2010-01-01,5,0,5,0,5
JESUS DE MACHACA,otras vacunaciones,antirrabica en humano,2010-01-01,6,0,6,0,6
LA GUARDIA,otras vacunaciones,antirrabica en humano,2010-01-01,78,0,78,0,78
LA PAZ,otras vacunaciones,antirrabica en humano,2010-01-01,4,0,4,0,4
MACHACAMARCA,otras vacunaciones,antirrabica en humano,2010-01-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica en humano,2010-01-01,115,0,115,0,115
ORURO,otras vacunaciones,antirrabica en humano,2010-01-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2010-01-01,5,0,5,0,5
PORONGO,otras vacunaciones,antirrabica en humano,2010-01-01,15,0,15,0,15
PORTACHUELO,otras vacunaciones,antirrabica en humano,2010-01-01,25,0,25,0,25
POTOSI,otras vacunaciones,antirrabica en humano,2010-01-01,67,0,67,0,67
PUERTO QUIJARRO,otras vacunaciones,antirrabica en humano,2010-01-01,20,0,20,0,20
PUNATA,otras vacunaciones,antirrabica en humano,2010-01-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2010-01-01,10,0,10,0,10
RAVELO,otras vacunaciones,antirrabica en humano,2010-01-01,0,18,0,18,18
SACABA,otras vacunaciones,antirrabica en humano,2010-01-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,antirrabica en humano,2010-01-01,5,0,5,0,5
SAN MATIAS,otras vacunaciones,antirrabica en humano,2010-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2010-01-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2010-01-01,1535,0,1535,0,1535
SUCRE,otras vacunaciones,antirrabica en humano,2010-01-01,465,0,465,0,465
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2010-01-01,5,0,5,0,5
TUPIZA,otras vacunaciones,antirrabica en humano,2010-01-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,antirrabica en humano,2010-01-01,10,0,10,0,10
VINTO,otras vacunaciones,antirrabica en humano,2010-01-01,14,0,14,0,14
WARNES,otras vacunaciones,antirrabica en humano,2010-01-01,45,0,45,0,45
AIQUILE,otras vacunaciones,antirrabica en humano,2010-02-01,3,0,3,0,3
BERMEJO,otras vacunaciones,antirrabica en humano,2010-02-01,24,0,24,0,24
CARANAVI,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,antirrabica en humano,2010-02-01,2,0,2,0,2
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2010-02-01,5,0,5,0,5
COTOCA,otras vacunaciones,antirrabica en humano,2010-02-01,0,14,0,14,14
EL ALTO,otras vacunaciones,antirrabica en humano,2010-02-01,393,0,393,0,393
EL TORNO,otras vacunaciones,antirrabica en humano,2010-02-01,104,0,104,0,104
JESUS DE MACHACA,otras vacunaciones,antirrabica en humano,2010-02-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,antirrabica en humano,2010-02-01,41,0,41,0,41
LA PAZ,otras vacunaciones,antirrabica en humano,2010-02-01,178,0,178,0,178
LAJA,otras vacunaciones,antirrabica en humano,2010-02-01,8,0,8,0,8
MACHACAMARCA,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,antirrabica en humano,2010-02-01,54,0,54,0,54
PADILLA,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
PALOS BLANCOS,otras vacunaciones,antirrabica en humano,2010-02-01,0,28,0,28,28
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
PORONGO,otras vacunaciones,antirrabica en humano,2010-02-01,9,0,9,0,9
PORTACHUELO,otras vacunaciones,antirrabica en humano,2010-02-01,5,0,5,0,5
POTOSI,otras vacunaciones,antirrabica en humano,2010-02-01,101,0,101,0,101
PUERTO QUIJARRO,otras vacunaciones,antirrabica en humano,2010-02-01,40,0,40,0,40
PUERTO SUAREZ,otras vacunaciones,antirrabica en humano,2010-02-01,20,0,20,0,20
PUNATA,otras vacunaciones,antirrabica en humano,2010-02-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2010-02-01,26,0,26,0,26
SACABA,otras vacunaciones,antirrabica en humano,2010-02-01,9,0,9,0,9
SAMAIPATA,otras vacunaciones,antirrabica en humano,2010-02-01,5,0,5,0,5
SAN ANTONIO DE ESMORUCO,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2010-02-01,1457,0,1457,0,1457
SUCRE,otras vacunaciones,antirrabica en humano,2010-02-01,397,0,397,0,397
TIAWANACU,otras vacunaciones,antirrabica en humano,2010-02-01,15,0,15,0,15
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
TOLEDO,otras vacunaciones,antirrabica en humano,2010-02-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica en humano,2010-02-01,109,0,109,0,109
YACUIBA,otras vacunaciones,antirrabica en humano,2010-02-01,23,0,23,0,23
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
BERMEJO,otras vacunaciones,antirrabica en humano,2010-03-01,12,0,12,0,12
BOLIVAR,otras vacunaciones,antirrabica en humano,2010-03-01,2,0,2,0,2
CAPINOTA,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
CLIZA,otras vacunaciones,antirrabica en humano,2010-03-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,antirrabica en humano,2010-03-01,100,0,100,0,100
COLCAPIRHUA,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
COTOCA,otras vacunaciones,antirrabica en humano,2010-03-01,3,0,3,0,3
EL ALTO,otras vacunaciones,antirrabica en humano,2010-03-01,503,0,503,0,503
EL PUENTE(STC),otras vacunaciones,antirrabica en humano,2010-03-01,15,0,15,0,15
EL TORNO,otras vacunaciones,antirrabica en humano,2010-03-01,119,0,119,0,119
LA GUARDIA,otras vacunaciones,antirrabica en humano,2010-03-01,111,0,111,0,111
LA PAZ,otras vacunaciones,antirrabica en humano,2010-03-01,695,0,695,0,695
LAJA,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
MAIRANA,otras vacunaciones,antirrabica en humano,2010-03-01,5,0,5,0,5
MINEROS,otras vacunaciones,antirrabica en humano,2010-03-01,9,0,9,0,9
MIZQUE,otras vacunaciones,antirrabica en humano,2010-03-01,4,0,4,0,4
MONTERO,otras vacunaciones,antirrabica en humano,2010-03-01,82,0,82,0,82
OKINAWA,otras vacunaciones,antirrabica en humano,2010-03-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,antirrabica en humano,2010-03-01,4,0,4,0,4
PORONGO,otras vacunaciones,antirrabica en humano,2010-03-01,9,0,9,0,9
PORTACHUELO,otras vacunaciones,antirrabica en humano,2010-03-01,20,0,20,0,20
POTOSI,otras vacunaciones,antirrabica en humano,2010-03-01,60,0,60,0,60
PUERTO QUIJARRO,otras vacunaciones,antirrabica en humano,2010-03-01,20,0,20,0,20
PUERTO SUAREZ,otras vacunaciones,antirrabica en humano,2010-03-01,10,0,10,0,10
PUERTO VILLARROEL,otras vacunaciones,antirrabica en humano,2010-03-01,18,0,18,0,18
QUILLACOLLO,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
SACABA,otras vacunaciones,antirrabica en humano,2010-03-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,antirrabica en humano,2010-03-01,3,0,3,0,3
SAN LORENZO(TJA),otras vacunaciones,antirrabica en humano,2010-03-01,8,0,8,0,8
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en humano,2010-03-01,1622,0,1622,0,1622
SHINAOTA,otras vacunaciones,antirrabica en humano,2010-03-01,2,0,2,0,2
TAPACARI,otras vacunaciones,antirrabica en humano,2010-03-01,2,0,2,0,2
TIAWANACU,otras vacunaciones,antirrabica en humano,2010-03-01,11,0,11,0,11
TIQUIPAYA,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
TUPIZA,otras vacunaciones,antirrabica en humano,2010-03-01,3,0,3,0,3
VALLEGRANDE,otras vacunaciones,antirrabica en humano,2010-03-01,11,0,11,0,11
VILLA SERRANO,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
VILLA TUNARI,otras vacunaciones,antirrabica en humano,2010-03-01,1,0,1,0,1
WARNES,otras vacunaciones,antirrabica en humano,2010-03-01,81,0,81,0,81
YACUIBA,otras vacunaciones,antirrabica en humano,2010-03-01,59,0,59,0,59
AYO AYO,otras vacunaciones,antirrabica en humano,2010-04-01,4,0,4,0,4
BERMEJO,otras vacunaciones,antirrabica en humano,2010-04-01,14,0,14,0,14
