,group,variable,month,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TRABAJADOR DE SALUD HEPATITIS B 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,3,0,3,0,3
COLOMI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,6,0,6,0,6
CORO CORO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,1,0,1,0,1
COROICO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,10,0,10,0,10
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
EL ALTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,20,0,20,0,20
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,40,0,40,0,40
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,13,0,13,0,13
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,3,0,3,0,3
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,3,0,3,0,3
QUIME,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,6,0,6,0,6
REYES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,6,0,6,0,6
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,5,0,5,0,5
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,14,0,14,0,14
TARVITA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
URIONDO (A. CONCEPCION),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,1,0,1,0,1
VALLEGRANDE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
WARNES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,32,0,32,0,32
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-01-01,2,0,2,0,2
ALALAY,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,3,0,3,0,3
BERMEJO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
COMARAPA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,1,0,1,0,1
COROICO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
COTOCA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
DESAGUADERO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,5,0,5,0,5
FERNANDEZ ALONSO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,3,0,3,0,3
ICLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,15,0,15,0,15
MAGDALENA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,1,0,1,0,1
MINEROS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,11,0,11,0,11
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,1,0,1,0,1
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,15,0,15,0,15
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,3,0,3,0,3
REYES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,0,1,0,1,1
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,5,0,5,0,5
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,4,0,4,0,4
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,11,0,11,0,11
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,5,0,5,0,5
WARNES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,8,0,8,0,8
YUNCHARA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-02-01,2,0,2,0,2
CALACOTO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,7,0,7,0,7
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,31,0,31,0,31
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,16,0,16,0,16
COROICO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,2,16,2,16,18
ICLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,16,0,16,0,16
MAPIRI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,3,0,3,0,3
MONTERO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
OMEREQUE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,7,0,7,0,7
ORURO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,19,0,19,0,19
PADCAYA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
PADILLA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
SAIPINA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,16,0,16,0,16
SAN BORJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,4,0,4,0,4
SAN PEDRO,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,40,0,40,0,40
SUCRE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,2,0,2,0,2
TACOPAYA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
TARIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,2,0,2,0,2
WARNES,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,1,0,1,0,1
YACUIBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-03-01,2,0,2,0,2
ALCALA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
CARAPARI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
COBIJA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,34,0,34,0,34
COCHABAMBA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,5,0,5,0,5
ENTRE RIOS TRJ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,3,0,3,0,3
LA PAZ,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,54,0,54,0,54
MIZQUE,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
POTOSI,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
SACABA,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,14,0,14,0,14
SAN JAVIER(STC),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,trabajador de salud hepatitis b 3ra dosis,2010-04-01,1,0,1,0,1
