,group,variable,month,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,115,3,115,3,118
ACHOCALLA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,3,8,3,8,11
AIQUILE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,36,30,36,30,66
ALCALA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,1,1,1,1,2
ALTO BENI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,4,4,4,4,8
ANCORAIMES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,9,2,9,2,11
ANDAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,12,4,12,4,16
ANZALDO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,7,22,7,22,29
ARAMPAMPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,4,0,4,0,4
ARANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,0,6,0,6
ARBIETO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,9,32,9,32,41
ARQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,4,0,4,0,4
ASCENCION DE GUARAYOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,89,1,89,1,90
ATOCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,9,20,9,20,29
AYATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,5,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,24,16,24,16,40
AZURDUY,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,6,6,6,12
BATALLAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,7,5,7,5,12
BAURES,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,16,0,16,0,16
BELEN DE URMIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,6,0,6,6
BERMEJO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,106,28,106,28,134
BETANZOS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,26,2,26,2,28
BOLIVAR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,5,0,5,5
BOYUIBE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,2,1,2,1,3
BUENA VISTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,19,8,19,8,27
CABEZAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,13,6,13,6,19
CAIROMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,5,9,5,9,14
"CAIZA ""D""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,2,0,2,2
CAJUATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,4,6,4,10
CALACOTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,2,0,2,2
CALAMARCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,8,5,8,5,13
CAMARGO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,5,1,5,1,6
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,1,6,1,7
CAMIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,32,124,32,124,156
CAPINOTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,50,13,50,13,63
CARACOLLO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,8,61,8,61,69
CARANAVI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,9,14,9,14,23
CARAPARI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,45,5,45,5,50
CARIPUYO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,8,6,8,14
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,7,0,7,0,7
CHALLAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,36,23,36,23,59
CHAQUI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,7,6,7,13
CHARAGUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,20,2,20,2,22
CHAYANTA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,3,6,3,9
CHIMORE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,20,7,20,7,27
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,30,1,30,1,31
CHUMA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,8,0,8,0,8
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,16,0,16,16
CKOCHAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,9,0,9,9
CLIZA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,38,17,38,17,55
COBIJA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,96,6,96,6,102
COCAPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,30,68,30,68,98
COCHABAMBA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,696,8,696,8,704
COLCAPIRHUA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,80,22,80,22,102
"COLCHA ""K""",otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,15,0,15,0,15
COLLANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,1,0,1,0,1
COLOMI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,31,21,31,21,52
COLPA BELGICA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,7,0,7,0,7
COLQUECHACA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,10,95,10,95,105
COLQUENCHA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,4,0,4,0,4
COLQUIRI,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,12,29,12,29,41
COMARAPA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,15,5,15,5,20
CONCEPCION,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,28,4,28,4,32
COPACABANA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,25,2,25,2,27
CORIPATA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,10,0,10,0,10
CORO CORO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,1,0,1,0,1
COROICO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,31,13,31,13,44
CORQUE,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,5,7,5,7,12
COTAGAITA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,13,3,13,3,16
COTOCA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,53,7,53,7,60
CUATRO CAÑADAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,25,0,25,0,25
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,1,0,1,1
CULPINA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,7,4,7,4,11
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,2,2,2,2,4
CURVA,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,3,0,3,3
DESAGUADERO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,6,0,6,0,6
EL ALTO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,1143,177,1143,177,1320
EL CHORO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,0,3,0,3,3
EL PUENTE(STC),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,29,2,29,2,31
EL TORNO,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,113,20,113,20,133
EL VILLAR,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,3,1,3,1,4
ENTRE RIOS TRJ,otras vacunaciones,mujeres de 10 a 49 anos 1ra dosis de dt,2010-01-01,10,10,10,10,20
