municipality,group,variable,month,Neumonías,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,5,5
ATOCHA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,5,5
BAURES,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,3,3
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,6,6
CARACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,6,6
CHALLAPATA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,26,26
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,60,60
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,5,5
COTOCA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,60,60
EL TORNO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,35,35
FILADELFIA,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,9,9
HUANUNI,diagnostico de egreso en menores de 5 anos,neumonias,2007-01-01,1,1
