municipality,group,variable,month,Otros,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,7,7
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,10,10
APOLO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,15,15
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2007-01-01,3,3
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,11,11
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,9,9
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,69,69
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,12,12
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,13,13
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2007-01-01,9,9
CLIZA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,13,13
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,181,181
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,15,15
COROICO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,12,12
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,4,4
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,116,116
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
EL VILLAR,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,200,200
FILADELFIA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,246,246
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,6,6
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,5,5
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,2,2
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,527,527
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,22,22
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,7,7
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,4,4
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,17,17
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,95,95
ORURO,diagnostico de egreso en menores de 5 anos,otros,2007-01-01,101,101
