municipality,group,variable,month,Diarreas,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
APOLO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
BOYUIBE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
CABEZAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
CAMATAQUI (C. VILLA ABECIA),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,29,29
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
CLIZA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,14,14
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,77,77
COLQUIRI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,8,8
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,17,17
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
CULPINA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,75,75
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,40,40
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,50,50
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,7,7
GUTIERREZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
HUACARETA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,6,6
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,19,19
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,63,63
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,17,17
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
MIZQUE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,9,9
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,55,55
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,34,34
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
PORTACHUELO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,59,59
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,17,17
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,18,18
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,26,26
REYES,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,51,51
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,29,29
SACACA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,10,10
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,15,15
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,46,46
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,16,16
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
SAN JUAN DE YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,5,5
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,22,22
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
SAN MATIAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,7,7
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,8,8
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,646,646
SANTA ROSA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
SUCRE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,55,55
TACACOMA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
TARABUCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
TARIJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,16,16
TIPUANI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,4,4
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,40,40
TOMINA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,2,2
TRINIDAD,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,27,27
TUPIZA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,18,18
UNCIA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,8,8
URIONDO (A. CONCEPCION),diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
VILLA MONTES,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,10,10
VILLA RIVERO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,6,6
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,35,35
VILLAZON,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,19,19
VINTO,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,3,3
WARNES,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,7,7
YACUIBA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,54,54
YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,6,6
YOTALA,diagnostico de egreso en menores de 5 anos,diarreas,2007-01-01,1,1
ARBIETO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,17,17
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,8,8
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,5,5
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
CABEZAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,33,33
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,6,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
CLIZA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,11,11
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,183,183
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,11,11
COLPA BELGICA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,8,8
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,5,5
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,19,19
CUATRO CAÑADAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,68,68
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,11,11
FERNANDEZ ALONSO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,62,62
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,16,16
GUTIERREZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
LA ASUNTA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,9,9
LA PAZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,74,74
LLALLAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,8,8
MAGDALENA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
MAIRANA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,10,10
MONTERO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,43,43
ORURO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,77,77
PADILLA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
PAILON,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
POTOSI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,52,52
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,37,37
PUNATA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,11,11
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,16,16
RIBERALTA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,26,26
ROBORE,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,63,63
SACACA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
SAN BORJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,17,17
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,21,21
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,7,7
SAN JULIAN,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,25,25
SAN LUCAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,5,5
SANTA ANA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,602,602
SOPACHUY,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,5,5
SUCRE,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,66,66
TARABUCO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
TARIJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,21,21
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,4,4
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,27,27
TOMINA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,29,29
TUPIZA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,21,21
UNCIA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,235,235
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,7,7
VIACHA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,2,2
VILLA MONTES,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,8,8
VILLA RIVERO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,1,1
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,10,10
VILLAZON,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,22,22
VINTO,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
WARNES,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,9,9
YACUIBA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,35,35
YAPACANI,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,7,7
YUNCHARA,diagnostico de egreso en menores de 5 anos,diarreas,2007-02-01,3,3
ACHACACHI,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
ARBIETO,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,5,5
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,7,7
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,7,7
BAURES,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
BUENA VISTA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,11,11
CARACOLLO,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,1,1
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,6,6
CHALLAPATA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,1,1
CLIZA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,13,13
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,110,110
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,7,7
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,3,3
CONCEPCION,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2007-03-01,11,11
