,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,7,0,7,7
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,6,1,6,7
ANZALDO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,0,1,0,1
APOLO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,2,19,2,19,21
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,5,2,5,2,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,3,1,3,4
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,5,0,5,0,5
CAMARGO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,26,18,26,18,44
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,7,44,7,44,51
CAPINOTA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,1,0,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,10,33,10,33,43
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,1,0,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,2,3,2,3,5
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,6,22,6,22,28
CHAYANTA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,9,1,9,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,4,7,4,7,11
CLIZA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,3,30,3,30,33
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,26,142,26,142,168
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,63,329,63,329,392
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,0,1,0,1
COLQUIRI,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,0,1,0,1
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,10,1,10,11
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,7,12,7,12,19
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,7,1,7,8
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,146,733,146,733,879
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,13,0,13,13
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,2,2,2,2,4
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,6,18,6,18,24
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,2,0,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,15,0,15,15
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,4,0,4,4
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,4,7,4,7,11
LA PAZ,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,604,681,604,681,1285
LAGUNILLAS,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,1,0,1,1
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,75,169,75,169,244
MACHARETI,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,1,5,1,5,6
MAGDALENA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,4,9,4,9,13
MAIRANA,internaciones,ingresos referidos de otros establecimientos de salud,2017-01-01,0,10,0,10,10
