,group,variable,month,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) < 15,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 15 - 19,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 20 - 34,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 35 - 49,CONDÓN MASCULINO: USUARIAS (OS) NUEVAS (OS) 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,6,0,0,6
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,3,4,2,9
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,2,0,0,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,1,5,0,0,6
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,0,0,1
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,2,1,0,3
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,3,0,0,3
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,0,0,1
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,0,0,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,3,1,0,4
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,0,0,1
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,1,4,1,0,6
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,2,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,1,5,0,0,6
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,5,2,0,7
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) nuevas (os),2017-01-01,0,0,1,1,0,2
