,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,6,3,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,5,0,0,5
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,1,0,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,1,4,0,0,5
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,1,1,0,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,0,1,0,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,2,1,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,3,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,0,2,0,2
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-02-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,8,11,0,19
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,3,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,7,0,0,7
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,1,2,0,3
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,17,1,0,18
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2017-03-01,0,0,2,2,0,4
