municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2010-01-01,13,13
ACHACACHI,otras actividades de enfermeria,sueros,2010-01-01,44,44
ACHOCALLA,otras actividades de enfermeria,sueros,2010-01-01,1,1
AIQUILE,otras actividades de enfermeria,sueros,2010-01-01,93,93
ALALAY,otras actividades de enfermeria,sueros,2010-01-01,1,1
ALCALA,otras actividades de enfermeria,sueros,2010-01-01,8,8
ALTO BENI,otras actividades de enfermeria,sueros,2010-01-01,11,11
ANCORAIMES,otras actividades de enfermeria,sueros,2010-01-01,11,11
ANDAMARCA,otras actividades de enfermeria,sueros,2010-01-01,15,15
ANTEQUERA,otras actividades de enfermeria,sueros,2010-01-01,5,5
ANZALDO,otras actividades de enfermeria,sueros,2010-01-01,6,6
APOLO,otras actividades de enfermeria,sueros,2010-01-01,22,22
ARAMPAMPA,otras actividades de enfermeria,sueros,2010-01-01,3,3
ARANI,otras actividades de enfermeria,sueros,2010-01-01,18,18
ARBIETO,otras actividades de enfermeria,sueros,2010-01-01,7,7
ARQUE,otras actividades de enfermeria,sueros,2010-01-01,14,14
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2010-01-01,352,352
ATOCHA,otras actividades de enfermeria,sueros,2010-01-01,318,318
AUCAPATA,otras actividades de enfermeria,sueros,2010-01-01,2,2
AYATA,otras actividades de enfermeria,sueros,2010-01-01,3,3
AYO AYO,otras actividades de enfermeria,sueros,2010-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2010-01-01,30,30
AZURDUY,otras actividades de enfermeria,sueros,2010-01-01,49,49
BATALLAS,otras actividades de enfermeria,sueros,2010-01-01,13,13
BAURES,otras actividades de enfermeria,sueros,2010-01-01,55,55
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2010-01-01,1,1
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2010-01-01,1,1
BELLA FLOR,otras actividades de enfermeria,sueros,2010-01-01,4,4
BERMEJO,otras actividades de enfermeria,sueros,2010-01-01,1505,1505
BETANZOS,otras actividades de enfermeria,sueros,2010-01-01,113,113
BOLIVAR,otras actividades de enfermeria,sueros,2010-01-01,8,8
BOLPEBRA,otras actividades de enfermeria,sueros,2010-01-01,6,6
BOYUIBE,otras actividades de enfermeria,sueros,2010-01-01,45,45
BUENA VISTA,otras actividades de enfermeria,sueros,2010-01-01,51,51
CABEZAS,otras actividades de enfermeria,sueros,2010-01-01,165,165
CAIROMA,otras actividades de enfermeria,sueros,2010-01-01,22,22
"CAIZA ""D""",otras actividades de enfermeria,sueros,2010-01-01,16,16
CAJUATA,otras actividades de enfermeria,sueros,2010-01-01,12,12
CALACOTO,otras actividades de enfermeria,sueros,2010-01-01,6,6
CALAMARCA,otras actividades de enfermeria,sueros,2010-01-01,15,15
CAMARGO,otras actividades de enfermeria,sueros,2010-01-01,114,114
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2010-01-01,23,23
CAMIRI,otras actividades de enfermeria,sueros,2010-01-01,877,877
CAPINOTA,otras actividades de enfermeria,sueros,2010-01-01,95,95
CAQUIAVIRI,otras actividades de enfermeria,sueros,2010-01-01,5,5
CARACOLLO,otras actividades de enfermeria,sueros,2010-01-01,16,16
CARANAVI,otras actividades de enfermeria,sueros,2010-01-01,298,298
CARAPARI,otras actividades de enfermeria,sueros,2010-01-01,56,56
CARIPUYO,otras actividades de enfermeria,sueros,2010-01-01,8,8
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2010-01-01,16,16
CATACORA,otras actividades de enfermeria,sueros,2010-01-01,1,1
CHALLAPATA,otras actividades de enfermeria,sueros,2010-01-01,71,71
CHAQUI,otras actividades de enfermeria,sueros,2010-01-01,5,5
CHARAGUA,otras actividades de enfermeria,sueros,2010-01-01,206,206
CHARAÑA,otras actividades de enfermeria,sueros,2010-01-01,4,4
CHAYANTA,otras actividades de enfermeria,sueros,2010-01-01,39,39
CHIMORE,otras actividades de enfermeria,sueros,2010-01-01,34,34
CHIPAYA,otras actividades de enfermeria,sueros,2010-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2010-01-01,84,84
CHUMA,otras actividades de enfermeria,sueros,2010-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2010-01-01,12,12
CKOCHAS,otras actividades de enfermeria,sueros,2010-01-01,149,149
CLIZA,otras actividades de enfermeria,sueros,2010-01-01,37,37
COBIJA,otras actividades de enfermeria,sueros,2010-01-01,953,953
COCAPATA,otras actividades de enfermeria,sueros,2010-01-01,6,6
COCHABAMBA,otras actividades de enfermeria,sueros,2010-01-01,8519,8519
COLCAPIRHUA,otras actividades de enfermeria,sueros,2010-01-01,119,119
"COLCHA ""K""",otras actividades de enfermeria,sueros,2010-01-01,11,11
COLLANA,otras actividades de enfermeria,sueros,2010-01-01,9,9
COLOMI,otras actividades de enfermeria,sueros,2010-01-01,44,44
COLPA BELGICA,otras actividades de enfermeria,sueros,2010-01-01,23,23
