municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,44,44
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,136,136
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,114,114
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,212,212
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,9,9
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,36,36
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,206,206
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,36,36
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,48,48
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,22,22
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,33,33
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,38,38
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,12,12
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,124,124
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,39,39
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,31,31
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,436,436
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,346,346
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,23,23
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,14,14
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,87,87
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,54,54
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,69,69
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,339,339
BELEN DE ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,3,3
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,19,19
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,10,10
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,1458,1458
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,175,175
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,13,13
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,11,11
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,40,40
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,76,76
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,138,138
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,21,21
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,56,56
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,39,39
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,41,41
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2010-01-01,82,82
